@relation MultiLabelData

@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Att23 numeric
@attribute Att24 numeric
@attribute Att25 numeric
@attribute Att26 numeric
@attribute Att27 numeric
@attribute Att28 numeric
@attribute Att29 numeric
@attribute Att30 numeric
@attribute Att31 numeric
@attribute Att32 numeric
@attribute Att33 numeric
@attribute Att34 numeric
@attribute Att35 numeric
@attribute Att36 numeric
@attribute Att37 numeric
@attribute Att38 numeric
@attribute Att39 numeric
@attribute Att40 numeric
@attribute Att41 numeric
@attribute Att42 numeric
@attribute Att43 numeric
@attribute Att44 numeric
@attribute Att45 numeric
@attribute Att46 numeric
@attribute Att47 numeric
@attribute Att48 numeric
@attribute Att49 numeric
@attribute Att50 numeric
@attribute Att51 numeric
@attribute Att52 numeric
@attribute Att53 numeric
@attribute Att54 numeric
@attribute Att55 numeric
@attribute Att56 numeric
@attribute Att57 numeric
@attribute Att58 numeric
@attribute Att59 numeric
@attribute Att60 numeric
@attribute Att61 numeric
@attribute Att62 numeric
@attribute Att63 numeric
@attribute Att64 numeric
@attribute Att65 numeric
@attribute Att66 numeric
@attribute Att67 numeric
@attribute Att68 numeric
@attribute Att69 numeric
@attribute Att70 numeric
@attribute Att71 numeric
@attribute Att72 numeric
@attribute Att73 numeric
@attribute Att74 numeric
@attribute Att75 numeric
@attribute Att76 numeric
@attribute Att77 numeric
@attribute Att78 numeric
@attribute Att79 numeric
@attribute Att80 numeric
@attribute Att81 numeric
@attribute Att82 numeric
@attribute Att83 numeric
@attribute Att84 numeric
@attribute Att85 numeric
@attribute Att86 numeric
@attribute Att87 numeric
@attribute Att88 numeric
@attribute Att89 numeric
@attribute Att90 numeric
@attribute Att91 numeric
@attribute Att92 numeric
@attribute Att93 numeric
@attribute Att94 numeric
@attribute Att95 numeric
@attribute Att96 numeric
@attribute Att97 numeric
@attribute Att98 numeric
@attribute Att99 numeric
@attribute Att100 numeric
@attribute Att101 numeric
@attribute Att102 numeric
@attribute Att103 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}
@attribute Class7 {0,1}
@attribute Class8 {0,1}
@attribute Class9 {0,1}
@attribute Class10 {0,1}
@attribute Class11 {0,1}
@attribute Class12 {0,1}
@attribute Class13 {0,1}
@attribute Class14 {0,1}

@data
0.009961,0.014378,0.001949,0.02338,-0.044776,-0.06023,0.015986,-0.102861,-0.091903,-0.076066,-0.088436,-0.02101,-0.077629,-0.144212,-0.074994,-0.175539,0.012816,-0.069354,0.001085,-0.115723,0.001742,-0.117694,0.047669,0.038086,0.020436,0.031093,0.017063,0.100364,0.175527,0.073939,-0.036923,0.025539,0.045361,-0.017743,-0.023266,-0.029073,0.078062,0.120113,0.233802,0.156988,0.174125,0.155075,0.092725,0.067076,0.267309,0.306836,0.278795,-0.283875,-0.103135,-0.058184,0.00246,-0.008252,-0.0098,-0.071509,-0.049799,-0.03833,-0.066426,0.006609,-0.139804,-0.047905,-0.026244,-0.168458,-0.102433,-0.07947,-0.036492,0.074063,-0.02369,-0.037918,-0.086687,-0.041729,-0.030471,0.032,-0.112707,-0.140897,-0.116001,-0.125921,-0.001513,0.038772,0.11956,-0.030873,-0.044865,-0.066608,0.072401,-0.079953,-0.03822,0.219703,-0.042301,-0.055825,-0.026789,-0.069526,-0.068115,0.002464,0.008499,-0.043868,-0.045469,-0.045207,0.087032,-0.049024,0.122053,0.023307,-0.004782,-0.0188,0.084113,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0.042225,-0.031441,-0.01872,-0.040758,-0.009221,0.085305,-0.006561,0.129646,0.132894,-0.112358,0.008804,-0.06403,-0.05198,-0.047107,0.025077,0.042612,0.030796,-0.066509,-0.025979,-0.160409,-0.059804,0.053802,0.063925,0.001063,0.026933,-0.029808,-0.176225,-0.178541,-0.009391,-0.16634,-0.08174,-0.147101,0.175502,0.220999,0.182675,0.011272,0.161391,0.230874,0.152691,0.088619,0.034135,0.146679,0.213444,0.046627,0.186616,0.168852,0.307539,-0.026378,-0.060524,-0.143372,-0.048504,-0.086365,-0.076002,0.026084,-0.038136,-0.022743,-0.007778,-0.00412,-0.021481,-0.14964,0.020085,-0.037676,-0.202059,0.073802,-0.058864,0.093731,-0.285438,-0.175757,-0.101413,0.052878,-0.010921,0.001951,-0.018555,-0.098707,-0.093172,0.002619,-0.064527,-0.000756,-0.024232,-0.003395,0.010697,-0.045521,-0.031031,-0.063426,-0.008649,-0.006408,-0.013941,-0.038711,0.020373,-0.042196,-0.042328,0.03075,-0.041622,0.0645,-0.007408,-0.014807,0.000005,-0.00093,0.002582,-0.041439,-0.029631,0.017594,0.125286,0,0,1,1,0,0,0,0,0,0,0,1,1,0
-0.037735,0.024453,0.073919,0.018356,0.076178,0.032474,0.054466,0.083762,0.050125,0.050281,-0.054961,-0.027584,-0.051634,-0.024535,-0.095731,-0.039216,-0.080469,-0.009489,0.226678,-0.090601,0.023379,-0.070032,-0.161787,-0.120706,-0.169774,-0.066784,-0.080811,-0.096103,-0.075049,-0.04551,-0.057369,-0.063019,-0.144506,-0.104776,0.045048,0.201531,0.236371,0.071713,-0.091538,0.016363,0.149273,0.169281,0.166078,0.061546,0.094148,0.148472,0.175436,0.099406,-0.121727,-0.164436,-0.120182,-0.107069,-0.088085,0.058676,0.007554,0.027032,-0.129598,-0.177684,0.032773,0.194236,0.063696,0.065837,0.054591,0.074029,-0.069293,0.03038,-0.020804,0.102556,-0.041068,-0.039249,0.016044,-0.029238,-0.066786,-0.138613,-0.182724,-0.021278,0.006124,0.020244,0.228989,-0.0333,-0.056846,-0.07203,-0.018932,0.072134,-0.042316,-0.04116,-0.047949,-0.023048,-0.061735,0.127352,-0.028237,-0.041927,-0.055802,0.020951,-0.055036,-0.051276,-0.039068,-0.040247,-0.012869,0.316151,-0.023323,-0.018825,0.074738,1,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.008483,0.000356,0.035431,0.085455,0.047546,0.027012,0.034735,-0.046504,-0.067062,0.016551,-0.061947,0.046444,0.032419,-0.031067,-0.003303,-0.11337,-0.024662,-0.055991,-0.029136,-0.134477,0.046852,0.004662,0.003259,0.02319,0.00835,0.000169,0.002526,0.006592,0.063178,-0.045047,-0.065338,0.029868,-0.188499,-0.182306,-0.114599,-0.128912,-0.034082,-0.083052,-0.034838,0.042771,0.014922,-0.035771,-0.093745,-0.096273,-0.136426,-0.093902,-0.084801,-0.070451,0.121568,0.169629,0.273405,0.183099,0.161472,-0.088146,0.105899,0.044867,0.184545,0.129599,0.033091,0.009398,-0.047958,-0.01661,-0.058781,-0.059097,-0.003437,-0.031122,-0.042529,-0.119618,-0.012939,-0.024524,-0.039865,-0.040796,-0.0476,-0.11005,0.027837,-0.001444,-0.016575,-0.048939,-0.018465,0.078044,0.151808,0.040614,-0.161665,0.181782,0.12357,0.102717,0.115624,0.121185,-0.14924,0.011002,0.012948,-0.174784,0.098006,-0.191855,0.120062,-0.156929,0.121378,0.124842,0.193936,0.023599,-0.179533,-0.163227,-0.210586,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.071486,0.050204,0.033085,0.384538,0.039864,-0.042872,0.065166,-0.005454,-0.007631,0.094453,-0.01037,0.04642,0.045833,-0.077877,-0.084736,-0.004502,0.002143,-0.02966,-0.025485,-0.083446,-0.099011,-0.088904,-0.02622,0.04799,0.003593,0.044448,0.071647,0.093354,0.034768,0.07847,0.066089,0.158977,0.095618,0.04323,-0.019283,-0.037312,-0.038144,-0.012488,-0.079175,0.133749,-0.010445,-0.133646,-0.026422,0.114797,-0.174134,0.007407,-0.180103,0.006572,-0.056883,-0.09516,-0.094084,-0.137028,-0.129831,0.089564,-0.050802,-0.020419,-0.050893,-0.003839,-0.136497,0.050589,0.070919,0.013555,0.101746,0.005479,-0.040598,0.041239,-0.003224,0.046388,0.068846,0.106497,0.085392,0.061037,-0.064163,-0.103788,-0.003141,0.225857,-0.021428,0.029866,-0.007667,-0.008075,0.134519,-0.099121,0.165395,-0.085148,0.109122,0.115132,0.024657,0.12463,0.206946,-0.144784,-0.144789,-0.172702,-0.011123,-0.209417,0.014275,-0.123952,0.076342,0.040784,-0.140295,0.08643,-0.062045,0.257019,-0.064151,0,0,0,1,1,0,0,0,0,0,0,1,1,0
-0.021484,0.052105,-0.046284,-0.138331,-0.183862,-0.015281,-0.136023,-0.034044,-0.138385,0.05533,-0.147979,-0.1285,-0.124454,0.000616,-0.280794,-0.100216,-0.05984,-0.009484,0.171606,0.011851,-0.045671,0.033088,-0.001677,-0.055579,0.053992,-0.099576,-0.175013,-0.121362,0.029436,-0.02013,-0.11914,0.012895,0.071728,0.054286,-0.070854,-0.027371,0.027688,0.017278,0.021895,-0.02122,-0.013057,-0.056448,-0.047928,-0.001225,-0.036213,0.002157,-0.0624,0.00148,0.021714,0.082933,0.17283,0.196151,0.188742,-0.153947,0.152145,0.077664,0.023584,0.029562,-0.065245,0.090064,0.066148,0.113542,0.118489,0.077116,-0.065114,-0.025975,-0.078975,0.053653,-0.058908,0.099496,-0.041996,-0.056655,-0.134185,-0.140516,-0.0936,-0.126229,-0.117303,0.03676,0.015763,-0.117362,0.056231,0.043885,0.046377,0.036376,-0.1362,0.025373,-0.105837,-0.122442,-0.04,0.07265,0.18128,0.033418,0.236502,0.020787,-0.129522,0.01757,0.088896,-0.019784,0.250957,-0.115756,-0.04777,-0.131088,-0.071914,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.091986,-0.110827,0.008504,0.02504,0.15566,0.219368,0.044086,0.153059,0.121881,0.079734,0.159127,0.053057,0.03458,0.141071,0.088348,0.09416,0.154347,0.059859,-0.091895,-0.02771,0.001403,0.053253,0.102708,0.001312,0.068331,0.011616,-0.047826,0.049134,-0.005569,-0.046616,-0.050077,-0.053429,0.181505,0.115535,0.081952,0.08124,0.146777,0.121007,0.057732,-0.04609,-0.023329,0.066048,0.053601,0.004786,-0.040577,-0.087345,-0.088828,-0.086337,-0.058169,-0.026415,0.048166,-0.045292,-0.020838,-0.027923,-0.093336,-0.123997,-0.014067,-0.014844,0.028562,-0.137315,-0.047937,-0.030253,0.100518,0.031623,-0.099595,-0.072585,-0.099386,-0.048835,0.100194,-0.116618,0.079069,0.153832,-0.031385,-0.023216,-0.156146,-0.120838,-0.16124,-0.22148,-0.131507,0.309704,0.289539,-0.065186,-0.046622,-0.040571,-0.064121,-0.058424,-0.054774,-0.04607,-0.050942,-0.053903,-0.053145,-0.047503,0.05403,-0.039152,0.282332,-0.060618,-0.015293,-0.015273,-0.048428,-0.079934,-0.046008,-0.016925,-0.021327,0,0,1,1,0,0,0,0,0,0,0,1,1,0
-0.02304,0.143507,0.088801,0.038402,0.001152,0.008282,-0.065783,0.048003,0.255396,0.054316,0.186007,0.104513,0.202921,-0.0704,0.107416,0.138041,-0.074151,-0.031505,-0.200401,-0.177065,-0.213467,-0.044341,-0.087583,-0.129122,-0.006315,-0.017739,-0.092063,0.042004,0.047364,0.070025,-0.065859,-0.00008,0.046372,-0.105096,0.020121,0.004537,0.164918,-0.039135,-0.131518,-0.139386,-0.081172,0.008484,-0.161039,0.02702,0.123834,0.051622,0.064574,0.199706,-0.052211,-0.018302,-0.016784,-0.005393,-0.044159,-0.105122,-0.037361,-0.077588,0.03236,0.102059,-0.078624,-0.046367,-0.044816,0.071215,-0.009746,0.026848,-0.02868,0.05304,0.011691,-0.003281,-0.107918,0.078251,0.049261,0.000843,-0.128347,0.022225,0.109111,0.059825,-0.105867,0.119585,0.027426,-0.122599,-0.173983,-0.081867,-0.002359,0.100742,0.032384,0.006057,0.015148,0.10149,0.179895,0.132818,0.116165,0.069182,-0.129249,0.105466,-0.151091,0.118754,-0.15592,-0.156642,0.154936,0.061877,0.026066,0.024213,-0.083919,0,0,0,1,1,0,0,0,0,0,0,1,1,0
-0.014716,0.006002,-0.150768,-0.100309,-0.215728,-0.019914,-0.203546,-0.104439,-0.115644,-0.033172,-0.117164,-0.149072,-0.121334,-0.141041,-0.128835,-0.073722,-0.123539,-0.06444,0.181738,0.017571,0.080201,-0.03303,0.08407,0.031468,-0.017444,0.005928,-0.058863,-0.071406,0.060425,-0.082323,-0.02515,0.036698,0.197256,0.147506,0.124324,0.129731,0.092482,0.108232,0.102671,0.066049,0.023542,0.153642,0.115914,0.07361,0.142116,0.107767,0.124438,0.048886,-0.05532,-0.01149,-0.010343,-0.002422,0.005596,-0.047249,-0.015217,-0.048192,-0.046414,0.026597,-0.060333,-0.070749,-0.026991,-0.086187,-0.091715,-0.019791,0.039098,0.046101,0.00715,0.045977,-0.148702,0.032538,0.012044,0.036298,-0.108951,-0.156604,-0.041645,-0.061854,-0.093362,0.07664,-0.00496,-0.060708,0.163879,-0.089491,0.010082,-0.020551,0.038585,-0.022765,0.169479,-0.020593,0.046265,0.168853,-0.07374,0.316571,-0.079105,0.108273,-0.073729,-0.069109,0.004227,-0.072376,-0.069461,-0.080037,0.226567,-0.060489,-0.142552,0,0,1,1,0,0,1,1,0,0,0,1,1,0
0.12838,0.0876,0.117493,0.043212,0.136479,-0.043212,0.063555,0.007833,0.139493,-0.04103,0.085438,-0.097947,0.027264,-0.078195,0.080784,0.089532,-0.034782,0.010802,-0.066983,-0.032851,-0.005241,0.102031,0.04106,-0.072605,0.00662,-0.172659,-0.098454,0.046692,-0.040624,0.007614,-0.114112,-0.085939,-0.050174,0.024169,-0.076588,-0.149294,-0.030657,-0.052733,-0.16409,0.366413,-0.045692,-0.216017,-0.093975,-0.048183,-0.143249,-0.009155,-0.198005,-0.074316,-0.022272,0.005274,0.037218,0.01332,-0.015314,-0.064432,-0.137228,-0.063838,0.015586,0.106787,0.051228,0.107846,0.15435,0.133067,-0.043091,0.197865,-0.249014,0.018085,-0.109603,-0.015871,0.106621,0.133371,0.27016,0.1078,-0.14174,-0.035339,-0.142361,-0.084519,-0.14,-0.095576,0.088026,-0.017891,-0.040851,-0.007698,0.128469,-0.057118,-0.023986,-0.022224,-0.030979,-0.036083,-0.030887,-0.005269,-0.00721,0.012832,-0.016107,-0.003937,-0.039184,-0.036334,-0.040317,-0.004439,0.069568,-0.054158,-0.044258,0.001157,0.119784,0,0,0,0,0,0,0,1,1,0,0,0,0,0
