@relation 'scene-weka.filters.unsupervised.attribute.Remove-V-R292,285,283,291,195,188,241,234,200,233,209,242,201,196,240,202,199,198,238,245,104,232,223,237,190,225,231,236,212,235,243-244,207,214,226,105,239,186,251,286,217,102,208,206,116,230,110,108,205,197,194,101,203,146-147,46,100,282,287,48,103,189,111,248,47,222,274,210,141,227,193,204,215,185,224,229,259,97,109,187,219,99,216,293,106,41-42,45,153,228,192,213,220,281,275,55,218,159,52,118,145,115,117,211,50,191,112,247,173,107,56,246,49,142,184,154,113,43,156,149,144,123,290,124,93,288,252,250,161,114,38,135,96,122,133,51,119,40,253,221,294,54,257,121,126,39,138,295-300'

@attribute Att292 numeric
@attribute Att285 numeric
@attribute Att283 numeric
@attribute Att291 numeric
@attribute Att195 numeric
@attribute Att188 numeric
@attribute Att241 numeric
@attribute Att234 numeric
@attribute Att200 numeric
@attribute Att233 numeric
@attribute Att209 numeric
@attribute Att242 numeric
@attribute Att201 numeric
@attribute Att196 numeric
@attribute Att240 numeric
@attribute Att202 numeric
@attribute Att199 numeric
@attribute Att198 numeric
@attribute Att238 numeric
@attribute Att245 numeric
@attribute Att104 numeric
@attribute Att232 numeric
@attribute Att223 numeric
@attribute Att237 numeric
@attribute Att190 numeric
@attribute Att225 numeric
@attribute Att231 numeric
@attribute Att236 numeric
@attribute Att212 numeric
@attribute Att235 numeric
@attribute Att243 numeric
@attribute Att244 numeric
@attribute Att207 numeric
@attribute Att214 numeric
@attribute Att226 numeric
@attribute Att105 numeric
@attribute Att239 numeric
@attribute Att186 numeric
@attribute Att251 numeric
@attribute Att286 numeric
@attribute Att217 numeric
@attribute Att102 numeric
@attribute Att208 numeric
@attribute Att206 numeric
@attribute Att116 numeric
@attribute Att230 numeric
@attribute Att110 numeric
@attribute Att108 numeric
@attribute Att205 numeric
@attribute Att197 numeric
@attribute Att194 numeric
@attribute Att101 numeric
@attribute Att203 numeric
@attribute Att146 numeric
@attribute Att147 numeric
@attribute Att46 numeric
@attribute Att100 numeric
@attribute Att282 numeric
@attribute Att287 numeric
@attribute Att48 numeric
@attribute Att103 numeric
@attribute Att189 numeric
@attribute Att111 numeric
@attribute Att248 numeric
@attribute Att47 numeric
@attribute Att222 numeric
@attribute Att274 numeric
@attribute Att210 numeric
@attribute Att141 numeric
@attribute Att227 numeric
@attribute Att193 numeric
@attribute Att204 numeric
@attribute Att215 numeric
@attribute Att185 numeric
@attribute Att224 numeric
@attribute Att229 numeric
@attribute Att259 numeric
@attribute Att97 numeric
@attribute Att109 numeric
@attribute Att187 numeric
@attribute Att219 numeric
@attribute Att99 numeric
@attribute Att216 numeric
@attribute Att293 numeric
@attribute Att106 numeric
@attribute Att41 numeric
@attribute Att42 numeric
@attribute Att45 numeric
@attribute Att153 numeric
@attribute Att228 numeric
@attribute Att192 numeric
@attribute Att213 numeric
@attribute Att220 numeric
@attribute Att281 numeric
@attribute Att275 numeric
@attribute Att55 numeric
@attribute Att218 numeric
@attribute Att159 numeric
@attribute Att52 numeric
@attribute Att118 numeric
@attribute Att145 numeric
@attribute Att115 numeric
@attribute Att117 numeric
@attribute Att211 numeric
@attribute Att50 numeric
@attribute Att191 numeric
@attribute Att112 numeric
@attribute Att247 numeric
@attribute Att173 numeric
@attribute Att107 numeric
@attribute Att56 numeric
@attribute Att246 numeric
@attribute Att49 numeric
@attribute Att142 numeric
@attribute Att184 numeric
@attribute Att154 numeric
@attribute Att113 numeric
@attribute Att43 numeric
@attribute Att156 numeric
@attribute Att149 numeric
@attribute Att144 numeric
@attribute Att123 numeric
@attribute Att290 numeric
@attribute Att124 numeric
@attribute Att93 numeric
@attribute Att288 numeric
@attribute Att252 numeric
@attribute Att250 numeric
@attribute Att161 numeric
@attribute Att114 numeric
@attribute Att38 numeric
@attribute Att135 numeric
@attribute Att96 numeric
@attribute Att122 numeric
@attribute Att133 numeric
@attribute Att51 numeric
@attribute Att119 numeric
@attribute Att40 numeric
@attribute Att253 numeric
@attribute Att221 numeric
@attribute Att294 numeric
@attribute Att54 numeric
@attribute Att257 numeric
@attribute Att121 numeric
@attribute Att126 numeric
@attribute Att39 numeric
@attribute Att138 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}

@data
0.011361,0.01561,0.010931,0.004439,0.005179,0.001202,0.514437,0.514526,0.713578,0.533671,0.684369,0.515645,0.71492,0.008289,0.512759,0.710357,0.717425,0.721339,0.501621,0.475488,0.632833,0.506274,0.624732,0.526268,0.008493,0.601852,0.570954,0.569925,0.654008,0.536668,0.524378,0.513788,0.695104,0.689121,0.60562,0.616406,0.516528,0.002274,0.011104,0.011576,0.656021,0.648731,0.69232,0.695384,0.637695,0.577462,0.698038,0.596084,0.679191,0.71776,0.004651,0.616742,0.732376,0.330878,0.316577,0.076322,0.601427,0.022849,0.023235,0.046896,0.663889,0.003692,0.632709,0.002002,0.027619,0.726539,0.039449,0.698806,0.314602,0.598911,0.002763,0.667438,0.754719,0.009835,0.624452,0.596786,0.003321,0.08646,0.64952,0.003004,0.629283,0.581036,0.666868,0.00981,0.553182,0.195556,0.139187,0,0.010619,0.605318,0.009201,0.665101,0.631609,0.016636,0.010612,0.011187,0.638833,0.002046,0.000244,0.646687,0.33692,0.563786,0.736029,0.649032,0.000564,0.011165,0.602867,0.002291,0.066672,0.566166,0.00066,0.009109,0.00375,0.304767,0.00645,0.000725,0.52011,0,0.000661,0.001384,0.339726,0.527407,0.007365,0.606879,0.022521,0.006411,0.002276,0.002163,0.001379,0.532702,0.075202,0.32917,0.057174,0.481145,0.368224,0.000222,0.569362,0.243067,0.002224,0.643541,0.024897,0.000027,0.001333,0.457572,0.475309,0.162604,0.342606,0,1,0,0,0,0
0.045858,0.053477,0.007901,0.024214,0.045615,0.048641,0.413278,0.404958,0.596775,0.335715,0.68372,0.479536,0.693192,0.019631,0.38067,0.706902,0.528493,0.453916,0.564099,0.602959,0.549883,0.294966,0.694992,0.628601,0.001486,0.299204,0.51938,0.598844,0.531826,0.472524,0.623949,0.651011,0.647913,0.774043,0.336453,0.458608,0.31382,0.007618,0.163882,0.040454,0.869465,0.634163,0.742396,0.532698,0.675898,0.643105,0.481941,0.55011,0.453793,0.434279,0.027335,0.565775,0.722569,0.523011,0.574191,0.443987,0.435652,0.011942,0.026112,0.820032,0.521934,0.012197,0.437051,0.021355,0.673078,0.619308,0.013972,0.798231,0.36168,0.40365,0.014098,0.415917,0.899121,0.001356,0.555645,0.594952,0.044638,0.150982,0.654575,0.021847,0.385143,0.3693,0.912518,0.028445,0.376365,0.731261,0.603423,0.345132,0.151591,0.459865,0.002152,0.641148,0.448314,0.014406,0.011557,0.265597,0.333635,0.079764,0.343411,0.433237,0.57059,0.626509,0.528409,0.441078,0.083035,0.00117,0.456728,0.03282,0.023591,0.420322,0.110548,0.007175,0.636937,0.365816,0.000814,0.039762,0.414918,0.219131,0.004183,0.036375,0.451866,0.472942,0.00824,0.566872,0.054638,0.011726,0.064962,0.089272,0.052615,0.505075,0.330697,0.367668,0.233222,0.428498,0.508045,0.188214,0.604108,0.63315,0.001837,0.504261,0.035414,0.13316,0.194504,0.404067,0.521228,0.441351,0.563278,0,1,0,0,0,0
0.000441,0.007393,0.008154,0,0,0.000064,0.500358,0.500872,0.796732,0.50057,0.645207,0.5,0.777688,0,0.5,0.780529,0.911959,1,0.499195,0.5,0.888903,0.499698,0.488359,0.499374,0,0.50463,0.479826,0.49735,0.768082,0.489768,0.501006,0.5,0.691302,0.694512,0.55531,0.817195,0.5,0.053271,0.013929,0.000733,0.47712,1,0.666588,0.76248,0.877188,0.468666,0.803601,1,0.839305,0.993738,0.000612,0.964294,0.772343,0.346667,0.346667,0,0.784451,0.000269,0.000941,0,1,0.000082,0.665316,0.074807,0,0.60789,0.024955,0.623848,0.346667,0.604759,0,0.787059,0.760981,0.01058,0.472412,0.485608,0.165224,0,0.983032,0.027377,0.701098,0.859012,0.623065,0,1,0,0,0,0.01932,0.543009,0.000144,0.742821,0.757202,0.0002,0.1042,0.03336,0.547482,0.266343,0.025238,0.839986,0.344815,1,0.831091,0.712739,0.011564,0,0.752977,0.178073,0.013449,0.991625,0.045754,0.074109,0,0.346667,0.001086,0.01111,1,0,0.229712,0.125566,0.346667,0.840576,0.000104,0.849225,0,0,0.04738,0.014649,0.093351,1,0,0.344733,0.000123,0.956529,0.393676,0.051258,0.839781,0,0.149713,0.727825,0,0.036812,0.209324,0.995562,0.612888,0,0.363793,0,1,0,0,0,0
0.027535,0.111433,0.404168,0.385277,0.00117,0.108203,0.511395,0.598575,0.571099,0.510154,0.584373,0.587874,0.524032,0.000317,0.500805,0.569668,0.702608,0.810901,0.495091,0.500805,0.446125,0.509069,0.509796,0.517993,0.000317,0.59692,0.49839,0.513755,0.970042,0.731783,0.504999,0.501879,0.604524,0.634986,0.619744,0.421914,0.500805,0.234781,0.04581,0.048246,0.540191,0.610686,0.634393,0.68703,0.733855,0.515913,0.681324,0.843313,0.83226,0.881587,0.027957,0.750933,0.434302,0.342222,0.345185,0.081074,0.706687,0.027388,0.004939,0,0.446097,0.001446,0.425665,0.215268,0,0.558083,0.359695,0.532586,0.345185,0.907217,0.201615,0.957461,0.55125,0.275834,0.505211,0.761619,0.083795,0.000167,0.770823,0.183787,1,0.599973,0.511775,0.000506,0.650933,0,0,0,0.034283,0.929381,0.00421,0.86706,1,0.016536,0.594195,0.311914,0.692622,0.322255,0.804197,0.359719,0.354527,0.667119,0.590583,0.952999,0.086037,0.000317,0.475782,0.183567,0.23134,0.789746,0.073615,0.034084,0,0.345185,0.151656,0.035495,0.673162,0,0.177722,0.128646,0.445562,0.557208,0.01434,0.591015,0,0.000229,0.082259,0.045846,0.062562,0.719698,0.106635,0.411468,0.024996,0.426385,0.346667,0.477621,0.471337,0,0.017267,0.962627,0.000229,0.319684,0.202528,0.652174,0.338471,0.363701,0.422023,0,1,0,0,0,0
0.067135,0.128894,1,0.166455,0.077576,0.023405,1,0.786892,1,0.851438,1,0.993604,1,0.120201,0.987923,1,0.892244,1,0.534957,0.711241,0.53356,0.80919,0.638117,0.55465,0.01154,0.511764,0.505021,0.592056,1,0.671028,0.864198,0.781647,1,1,0.505043,0.620364,0.902051,0.203986,0.003484,0.04799,0.910304,0.351111,1,1,0.585844,0.500425,0.473059,0.366077,1,1,0.03411,0.350192,1,0.693834,0.595953,0.751364,0.381927,0.608326,0.019182,0.481755,0.433073,0.013117,0.562819,1,0.634696,0.677022,0.021588,1,0.797888,0.497685,0.166731,1,1,0.143645,0.611592,0.502807,0.009706,0.143052,0.397853,0.085382,0.699264,0.483237,0.980788,0.075433,0.50821,0.056502,0.031578,0.834031,0.005553,0.489209,0.13625,1,0.769178,0.319486,0.023934,0.002001,0.673086,0.009862,0.0027,0.680377,0.785357,0.55987,0.640898,1,0.003175,0.062245,0.649239,0.003353,0.037275,0.424225,0.003203,0.003996,0.348869,0.719033,0.168721,0.006479,0.657209,0.657139,0.009725,0.005365,0.678909,0.627524,0.115174,0.591502,0.048582,0.031557,0.014441,0.002222,0.005302,0.615871,0.439503,0.648875,0.038652,0.654643,0.333086,0.001383,0.697503,0.164412,0.005908,0.722066,0.178611,0.001309,0.003227,0.636132,0.464362,0.290096,0.430412,0,1,0,0,0,0
0.02318,0.035797,0.020454,0.023372,0.013606,0.007817,0.632146,0.570988,0.75908,0.581868,0.699465,0.641371,0.754518,0.01828,0.629797,0.759405,0.802872,0.771661,0.562511,0.653885,1,0.586565,0.665638,0.572788,0.01547,0.656188,0.653225,0.592425,0.646381,0.578536,0.638867,0.647052,0.967693,0.649803,0.646258,0.93666,0.6302,0.014202,0.021902,0.016841,0.635221,1,0.695842,1,0.537613,0.660896,0.943073,0.402449,0.737431,0.750895,0.012352,1,0.756229,0.459479,0.454486,0.597089,1,0.016205,0.03612,0.58111,1,0.009403,0.851516,0.096982,0.583432,0.660069,0.047637,0.727199,0.455117,0.661221,0.01441,0.683564,0.646639,0.009645,0.667785,0.664945,0.00995,0.06232,0.68954,0.028007,0.660785,1,0.640801,0.023003,0.927133,0.395399,0.332378,0.576759,0.017423,0.671855,0.012736,0.652699,0.6702,0.024726,0.035906,0.008425,0.657788,0.166105,0.02225,0.475151,0.457119,0.542531,0.504198,0.632436,0.006601,0.010757,0.7743,0.027751,0.004448,0.975679,0.012377,0.028651,0.564888,0.448669,0.007801,0.012754,0.485089,0.541738,0.314034,0.019526,0.472359,0.541084,0.018172,0.521125,0.094234,0.030168,0.017649,0.014278,0.101373,0.50941,0.426799,0.388409,0.06729,0.534568,0.465576,0.008989,0.460432,0.432863,0.004405,0.672705,0.028566,0.005834,0.004837,0.520604,0.499479,0.42109,0.396982,0,1,0,0,0,0
0.172637,0.02753,0.012985,0.279723,0.062329,0.010562,0.576534,0.646571,0.987565,0.628534,1,0.65204,1,0.058948,0.555287,1,1,1,0.632067,0.556741,0.669095,0.611078,0.8004,0.655954,0.058961,0.671117,0.699566,0.661735,0.874049,0.678487,0.627002,0.578581,0.91906,1,0.700338,0.78048,0.538032,0.013465,0.012487,0.011868,0.829117,0.455405,1,1,0.723903,0.709295,0.616818,0.622455,1,1,0.114456,0.548786,1,0.494931,0.411392,0.416469,0.675837,0.009777,0.009296,0.356672,0.546475,0.007413,0.811749,0.158566,0.399857,0.85193,0.015082,0.931294,0.445357,0.721753,0.116734,0.925188,0.945328,0.010953,0.769033,0.745985,0.02783,0.051382,0.398704,0.012081,0.800333,0.806578,0.88115,0.042486,0.929314,0.460012,0.422089,0.36468,0.010228,0.815665,0.07476,0.940698,0.850007,0.015128,0.013304,0.004926,0.759103,0.108782,0.00537,0.941125,0.588519,0.896248,0.877853,0.820037,0.004549,0.047638,0.908038,0.011434,0.012774,0.813155,0.00332,0.0187,0.317968,0.518724,0.01116,0.008111,0.984156,0.297343,0.037286,0.014038,0.626036,0.788992,0.051668,0.83203,0.052407,0.030201,0.009493,0.201899,0.011079,0.956008,0.469028,0.693855,0.125747,0.83334,0.716948,0.005292,0.949054,0.477922,0.031489,0.909208,0.048448,0.005805,0.325951,0.843224,0.809904,0.494587,0.73799,0,1,0,0,0,0
0.000178,0.014915,0.056731,0.001937,0.000188,0.082615,0.494163,0.470858,0.173052,0.466486,0.283022,0.496422,0.158257,0,0.499061,0.174808,0.145106,0.171766,0.486894,0.498926,0.510034,0.490495,0.53073,0.484512,0,0.464372,0.474425,0.480162,0.426932,0.489108,0.499799,0.498591,0.380837,0.688663,0.523517,0.372586,0.494274,0.127423,0.090551,0.013224,0.440944,0.610823,0.355486,0.339215,0.887606,0.489052,0.659623,0.658347,0.240238,0.374038,0.000027,0.591927,0.402375,0.347531,0.346667,0.09829,0.506111,0.026962,0.00569,0.097925,0.59166,0.000308,0.57596,0.053572,0.097475,0.640667,0.019035,0.230632,0.346667,0.545144,0,0.1754,0.620214,0.231969,0.482835,0.525843,0.093941,0,0.717764,0.071377,0.556036,0.378032,0.507023,0.00122,0.512414,0.108493,0.101101,0.099728,0.03371,0.602031,0.000268,0.569288,0.604569,0.006438,0.09957,0.019575,0.483684,0.01821,0.053846,0.733093,0.34679,0.89439,0.888464,0.319992,0.001083,0,0.532771,0.087267,0.165059,0.577051,0.001291,0.118668,0.098283,0.346667,0.23811,0.010092,0.564746,0.099454,0.002965,0.036661,0.346667,0.453971,0.003356,0.515055,0,0.002932,0.147099,0.055364,0.028753,0.679424,0.215498,0.531941,0,0.514527,0.453738,0.016791,0.556118,0.109446,0.089664,0.751588,0.000617,0.059629,0.052745,0.651715,0.35286,0.14705,0.398395,0,1,0,0,0,0
0.028226,0.025213,0.018405,0.004934,0.042648,0.01818,0.475197,0.463433,1,0.518798,1,0.483561,1,0.035472,0.485407,1,0.919306,0.726103,0.409096,0.401715,0.321427,0.501029,0.701288,0.414274,0.00047,0.514839,0.531893,0.442241,0.555947,0.433049,0.480531,0.471294,1,0.674673,0.483125,0.448628,0.497752,0.005938,0.710431,0.080497,0.800892,0.597044,1,0.887066,0.698326,0.55257,0.528361,0.716975,0.762983,0.535594,0.031133,0.762874,1,0.459829,0.447984,0.154817,0.757881,0.041381,0.064185,0.281229,0.410782,0.014651,0.441509,0.074241,0.242601,0.674014,0.016076,1,0.3457,0.486659,0.019948,0.648081,0.796285,0.022476,0.639079,0.538457,0.209313,0.065755,0.641639,0.036387,0.531613,0.473985,0.902129,0.083226,0.673951,0.252797,0.240748,0.131793,0.004047,0.492675,0.013776,0.592156,0.545547,0.021452,0.023661,0.003012,0.480587,0.143445,0.109754,0.761084,0.475103,0.582112,0.804239,0.530629,0.210965,0.066485,0.613999,0.242438,0.031072,0.77107,0.004262,0.165807,0.237868,0.402661,0.018011,0.022656,0.441927,0.097771,0.074276,0.098417,0.45987,0.581735,0.005274,0.706742,0.002442,0.001682,0.005644,0.00643,0.19384,0.500995,0.313729,0.404554,0.131535,0.480281,0.477675,0.400531,0.835432,0.288748,0.230146,0.585849,0.107145,0.004427,0.160193,0.418471,0.67465,0.332332,0.445185,0,1,0,0,0,0
0.014329,0.005281,0.004019,0.007963,0.004721,0.003269,0.493816,0.478429,0.284062,0.50936,0.245236,0.496723,0.219471,0.003074,0.504193,0.214998,0.29416,0.206667,0.442174,0.479256,0.298807,0.53508,0.282866,0.474638,0.001703,0.597938,0.193114,0.476751,0.591709,0.47863,0.483763,0.48922,0.223206,0.427827,0.493313,0.250288,0.516114,0.001827,0.098391,0.004808,0.350219,0.418251,0.207461,0.318773,0.439849,0.257962,0.335274,0.41618,0.323526,0.471551,0.003612,0.423567,0.18353,0.309287,0.329643,0.271832,0.342682,0.005192,0.045288,0.261356,0.336735,0.001707,0.305556,0.357642,0.284575,0.299964,0.042102,0.214942,0.35,0.451534,0.004795,0.370616,0.384338,0.001129,0.234915,0.301832,0.04087,0.05556,0.37262,0.002268,0.529287,0.481022,0.374441,0.020741,0.446132,0.335866,0.311202,0.238667,0.018271,0.366915,0.004548,0.536064,0.401056,0.005899,0.009991,0.006913,0.756341,0.013182,0.028932,0.401715,0.305254,0.459047,0.424705,0.677413,0.100552,0.001765,0.247641,0.195262,0.032943,0.422236,0.014501,0.269095,0.187755,0.333505,0.00097,0.013373,0.384472,0.206921,0.025244,0.033997,0.318813,0.352709,0.009364,0.293642,0.057662,0.03059,0.051182,0.078025,0.007585,0.419198,0.344666,0.341056,0.062883,0.402785,0.228779,0.027801,0.326269,0.353012,0.270957,0.339338,0.015171,0.019407,0.061209,0.454684,0.219376,0.34226,0.301166,0,1,0,0,0,0
