@relation 'scene-weka.filters.unsupervised.attribute.Remove-V-R95,292,291,234-235,233,241,201,102,242,103,289,237,94,284,231,200,97,96,195,194,199,232,238,202,227,226,228,236,107,192,198,240,245,239,230,243,290,188,104,244,203,222,196,208,223,105,248,190,229,207,206,220,110,186,212,47,214,210,209,287,217,46,225,205,108,7,92,115,147,45,159,106,213,109,281,116-117,224,158,288,38,40,153,293,101,193,250,39,100,49,219,141,204,12,124,111,294,44,215,112,51,218,11,93,123,197,145,211,5,146,187,173,9,191,48,43,37,154,41,251,6,216,247,184,246,221,161,144,143,36,99,16,42,259,152,254,88,56,118,82,182,133,55,189,134,142,295-300'

@attribute Att95 numeric
@attribute Att292 numeric
@attribute Att291 numeric
@attribute Att234 numeric
@attribute Att235 numeric
@attribute Att233 numeric
@attribute Att241 numeric
@attribute Att201 numeric
@attribute Att102 numeric
@attribute Att242 numeric
@attribute Att103 numeric
@attribute Att289 numeric
@attribute Att237 numeric
@attribute Att94 numeric
@attribute Att284 numeric
@attribute Att231 numeric
@attribute Att200 numeric
@attribute Att97 numeric
@attribute Att96 numeric
@attribute Att195 numeric
@attribute Att194 numeric
@attribute Att199 numeric
@attribute Att232 numeric
@attribute Att238 numeric
@attribute Att202 numeric
@attribute Att227 numeric
@attribute Att226 numeric
@attribute Att228 numeric
@attribute Att236 numeric
@attribute Att107 numeric
@attribute Att192 numeric
@attribute Att198 numeric
@attribute Att240 numeric
@attribute Att245 numeric
@attribute Att239 numeric
@attribute Att230 numeric
@attribute Att243 numeric
@attribute Att290 numeric
@attribute Att188 numeric
@attribute Att104 numeric
@attribute Att244 numeric
@attribute Att203 numeric
@attribute Att222 numeric
@attribute Att196 numeric
@attribute Att208 numeric
@attribute Att223 numeric
@attribute Att105 numeric
@attribute Att248 numeric
@attribute Att190 numeric
@attribute Att229 numeric
@attribute Att207 numeric
@attribute Att206 numeric
@attribute Att220 numeric
@attribute Att110 numeric
@attribute Att186 numeric
@attribute Att212 numeric
@attribute Att47 numeric
@attribute Att214 numeric
@attribute Att210 numeric
@attribute Att209 numeric
@attribute Att287 numeric
@attribute Att217 numeric
@attribute Att46 numeric
@attribute Att225 numeric
@attribute Att205 numeric
@attribute Att108 numeric
@attribute Att7 numeric
@attribute Att92 numeric
@attribute Att115 numeric
@attribute Att147 numeric
@attribute Att45 numeric
@attribute Att159 numeric
@attribute Att106 numeric
@attribute Att213 numeric
@attribute Att109 numeric
@attribute Att281 numeric
@attribute Att116 numeric
@attribute Att117 numeric
@attribute Att224 numeric
@attribute Att158 numeric
@attribute Att288 numeric
@attribute Att38 numeric
@attribute Att40 numeric
@attribute Att153 numeric
@attribute Att293 numeric
@attribute Att101 numeric
@attribute Att193 numeric
@attribute Att250 numeric
@attribute Att39 numeric
@attribute Att100 numeric
@attribute Att49 numeric
@attribute Att219 numeric
@attribute Att141 numeric
@attribute Att204 numeric
@attribute Att12 numeric
@attribute Att124 numeric
@attribute Att111 numeric
@attribute Att294 numeric
@attribute Att44 numeric
@attribute Att215 numeric
@attribute Att112 numeric
@attribute Att51 numeric
@attribute Att218 numeric
@attribute Att11 numeric
@attribute Att93 numeric
@attribute Att123 numeric
@attribute Att197 numeric
@attribute Att145 numeric
@attribute Att211 numeric
@attribute Att5 numeric
@attribute Att146 numeric
@attribute Att187 numeric
@attribute Att173 numeric
@attribute Att9 numeric
@attribute Att191 numeric
@attribute Att48 numeric
@attribute Att43 numeric
@attribute Att37 numeric
@attribute Att154 numeric
@attribute Att41 numeric
@attribute Att251 numeric
@attribute Att6 numeric
@attribute Att216 numeric
@attribute Att247 numeric
@attribute Att184 numeric
@attribute Att246 numeric
@attribute Att221 numeric
@attribute Att161 numeric
@attribute Att144 numeric
@attribute Att143 numeric
@attribute Att36 numeric
@attribute Att99 numeric
@attribute Att16 numeric
@attribute Att42 numeric
@attribute Att259 numeric
@attribute Att152 numeric
@attribute Att254 numeric
@attribute Att88 numeric
@attribute Att56 numeric
@attribute Att118 numeric
@attribute Att82 numeric
@attribute Att182 numeric
@attribute Att133 numeric
@attribute Att55 numeric
@attribute Att189 numeric
@attribute Att134 numeric
@attribute Att142 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}

@data
0.103637,0.011361,0.004439,0.514526,0.536668,0.533671,0.514437,0.71492,0.648731,0.515645,0.663889,0.018615,0.526268,0.044128,0.013276,0.570954,0.713578,0.08646,0.057174,0.005179,0.004651,0.717425,0.506274,0.501621,0.710357,0.598911,0.60562,0.605318,0.569925,0.566166,0.009201,0.721339,0.512759,0.475488,0.516528,0.577462,0.524378,0.007365,0.001202,0.632833,0.513788,0.732376,0.726539,0.008289,0.69232,0.624732,0.616406,0.002002,0.008493,0.596786,0.695104,0.695384,0.631609,0.698038,0.002274,0.654008,0.027619,0.689121,0.698806,0.684369,0.023235,0.656021,0.076322,0.601852,0.679191,0.596084,0.662152,0.024343,0.563786,0.316577,0,0.002046,0.553182,0.665101,0.64952,0.016636,0.637695,0.736029,0.624452,0.002257,0.006411,0.075202,0.243067,0.010619,0.00981,0.616742,0.002763,0.002163,0.162604,0.601427,0.00375,0.629283,0.314602,0.667438,0.692814,0.606879,0.632709,0.024897,0,0.754719,0.602867,0.000222,0.638833,0.686995,0.022521,0.527407,0.71776,0.33692,0.649032,0.70298,0.330878,0.003004,0.066672,0.657293,0.011165,0.046896,0,0.135293,0.000725,0.195556,0.011104,0.676764,0.666868,0.002291,0.00645,0.009109,0.643541,0.001379,0.339726,0.320556,0.00984,0.581036,0.643059,0.139187,0.003321,0.000389,0.003816,0.185474,0.00066,0.646687,0.043892,0.006326,0.368224,0.011187,0.003692,0.332037,0.304767,0,1,0,0,0,0
0.09999,0.045858,0.024214,0.404958,0.472524,0.335715,0.413278,0.693192,0.634163,0.479536,0.521934,0.043269,0.628601,0.061662,0.013802,0.51938,0.596775,0.150982,0.233222,0.045615,0.027335,0.528493,0.294966,0.564099,0.706902,0.40365,0.336453,0.459865,0.598844,0.420322,0.002152,0.453916,0.38067,0.602959,0.31382,0.643105,0.623949,0.00824,0.048641,0.549883,0.651011,0.722569,0.619308,0.019631,0.742396,0.694992,0.458608,0.021355,0.001486,0.594952,0.647913,0.532698,0.448314,0.481941,0.007618,0.531826,0.673078,0.774043,0.798231,0.68372,0.026112,0.869465,0.443987,0.299204,0.453793,0.55011,0.86482,0.055829,0.626509,0.574191,0.345132,0.079764,0.376365,0.641148,0.654575,0.014406,0.675898,0.528409,0.555645,0.021846,0.011726,0.330697,0.63315,0.151591,0.028445,0.565775,0.014098,0.089272,0.441351,0.435652,0.636937,0.385143,0.36168,0.415917,0.888744,0.566872,0.437051,0.035414,0.30497,0.899121,0.456728,0.188214,0.333635,0.627404,0.054638,0.472942,0.434279,0.57059,0.441078,0.828368,0.523011,0.021847,0.023591,0.395101,0.00117,0.820032,0.219131,0.257151,0.039762,0.731261,0.163882,0.7982,0.912518,0.03282,0.000814,0.007175,0.504261,0.052615,0.451866,0.377003,0.186076,0.3693,0.458069,0.603423,0.044638,0.082872,0.009,0.083913,0.110548,0.433237,0.21882,0.012393,0.508045,0.265597,0.012197,0.356228,0.365816,0,1,0,0,0,0
0,0.000441,0,0.500872,0.489768,0.50057,0.500358,0.777688,1,0.5,1,0,0.499374,0.000034,0.01023,0.479826,0.796732,0,0.000123,0,0.000612,0.911959,0.499698,0.499195,0.780529,0.604759,0.55531,0.543009,0.49735,0.991625,0.000144,1,0.5,0.5,0.5,0.468666,0.501006,0.000104,0.000064,0.888903,0.5,0.772343,0.60789,0,0.666588,0.488359,0.817195,0.074807,0,0.485608,0.691302,0.76248,0.757202,0.803601,0.053271,0.768082,0,0.694512,0.623848,0.645207,0.000941,0.47712,0,0.50463,0.839305,1,0.349114,0,1,0.346667,0,0.266343,1,0.742821,0.983032,0.0002,0.877188,0.831091,0.472412,0.176586,0,0,0,0.01932,0,0.964294,0,0.014649,0,0.784451,0,0.701098,0.346667,0.787059,0.308132,0.849225,0.665316,0,0,0.760981,0.752977,0.051258,0.547482,0.441794,0,0.840576,0.993738,0.344815,0.712739,0.560185,0.346667,0.027377,0.013449,0.630399,0,0,0,0,0.01111,0,0.013929,0.462632,0.623065,0.178073,0.001086,0.074109,0.727825,0.093351,0.346667,0.346008,0,0.859012,0.600564,0,0.165224,0.034981,0.32452,0.014693,0.045754,0.839986,0.04855,0.021787,0.393676,0.03336,0.000082,0.347263,0.346667,0,1,0,0,0,0
0.762608,0.027535,0.385277,0.598575,0.731783,0.510154,0.511395,0.524032,0.610686,0.587874,0.446097,0.000229,0.517993,0.000791,0.438182,0.49839,0.571099,0.000167,0.024996,0.00117,0.027957,0.702608,0.509069,0.495091,0.569668,0.907217,0.619744,0.929381,0.513755,0.789746,0.00421,0.810901,0.500805,0.500805,0.500805,0.515913,0.504999,0.01434,0.108203,0.446125,0.501879,0.434302,0.558083,0.000317,0.634393,0.509796,0.421914,0.215268,0.000317,0.761619,0.604524,0.68703,1,0.681324,0.234781,0.970042,0,0.634986,0.532586,0.584373,0.004939,0.540191,0.081074,0.59692,0.83226,0.843313,0,0,0.667119,0.345185,0,0.322255,0.650933,0.86706,0.770823,0.016536,0.733855,0.590583,0.505211,0.291547,0.000229,0.106635,0,0.034283,0.000506,0.750933,0.201615,0.045846,0.363701,0.706687,0,1,0.345185,0.957461,0.274719,0.591015,0.425665,0.000229,0,0.55125,0.475782,0.477621,0.692622,0.282283,0,0.557208,0.881587,0.354527,0.952999,0.032155,0.342222,0.183787,0.23134,0.585483,0.000317,0,0,0,0.035495,0,0.04581,0.142699,0.511775,0.183567,0.151656,0.034084,0.962627,0.062562,0.445562,0.342675,0,0.599973,0.660896,0,0.083795,0.136496,0.23289,0.840581,0.073615,0.359719,1,0,0.346667,0.311914,0.001446,0.35225,0.345185,0,1,0,0,0,0
0.111993,0.067135,0.166455,0.786892,0.671028,0.851438,1,1,0.351111,0.993604,0.433073,0.071106,0.55465,0.075715,0.404577,0.505021,1,0.143052,0.038652,0.077576,0.03411,0.892244,0.80919,0.534957,1,0.497685,0.505043,0.489209,0.592056,0.424225,0.13625,1,0.987923,0.711241,0.902051,0.500425,0.864198,0.115174,0.023405,0.53356,0.781647,1,0.677022,0.120201,1,0.638117,0.620364,1,0.01154,0.502807,1,1,0.769178,0.473059,0.203986,1,0.634696,1,1,1,0.019182,0.910304,0.751364,0.511764,1,0.366077,0.765554,0.021079,0.55987,0.595953,0.834031,0.009862,0.50821,1,0.397853,0.319486,0.585844,0.640898,0.611592,0.00821,0.031557,0.439503,0.164412,0.005553,0.075433,0.350192,0.166731,0.002222,0.290096,0.381927,0.348869,0.699264,0.797888,1,0.857278,0.591502,0.562819,0.178611,0.737879,1,0.649239,0.001383,0.673086,0.888834,0.048582,0.627524,1,0.785357,1,0.87717,0.693834,0.085382,0.037275,0.871978,0.062245,0.481755,0.657139,0.531785,0.006479,0.056502,0.003484,0.82889,0.980788,0.003353,0.168721,0.003996,0.722066,0.005302,0.678909,0.523772,0.52801,0.483237,0.786821,0.031578,0.009706,0.005386,0.00224,1,0.003203,0.680377,0.097513,0.003075,0.333086,0.002001,0.013117,0.726536,0.719033,0,1,0,0,0,0
0.05527,0.02318,0.023372,0.570988,0.578536,0.581868,0.632146,0.754518,1,0.641371,1,0.019558,0.572788,0.08017,0.020937,0.653225,0.75908,0.06232,0.06729,0.013606,0.012352,0.802872,0.586565,0.562511,0.759405,0.661221,0.646258,0.671855,0.592425,0.975679,0.012736,0.771661,0.629797,0.653885,0.6302,0.660896,0.638867,0.018172,0.007817,1,0.647052,0.756229,0.660069,0.01828,0.695842,0.665638,0.93666,0.096982,0.01547,0.664945,0.967693,1,0.6702,0.943073,0.014202,0.646381,0.583432,0.649803,0.727199,0.699465,0.03612,0.635221,0.597089,0.656188,0.737431,0.402449,0.582178,0.140233,0.542531,0.454486,0.576759,0.166105,0.927133,0.652699,0.68954,0.024726,0.537613,0.504198,0.667785,0.782348,0.030168,0.426799,0.432863,0.017423,0.023003,1,0.01441,0.014278,0.42109,1,0.564888,0.660785,0.455117,0.683564,0.586323,0.521125,0.851516,0.028566,0.562987,0.646639,0.7743,0.008989,0.657788,0.786635,0.094234,0.541084,0.750895,0.457119,0.632436,0.641608,0.459479,0.028007,0.004448,0.623677,0.010757,0.58111,0.541738,0.45752,0.012754,0.395399,0.021902,0.613759,0.640801,0.027751,0.007801,0.028651,0.672705,0.101373,0.472359,0.457078,0.441131,1,0.568101,0.332378,0.00995,0.008837,0.254287,0.251874,0.012377,0.475151,0.093178,0.024631,0.465576,0.008425,0.009403,0.388978,0.448669,0,1,0,0,0,0
0.175271,0.172637,0.279723,0.646571,0.678487,0.628534,0.576534,1,0.455405,0.65204,0.546475,0.035152,0.655954,0.058691,0.054814,0.699566,0.987565,0.051382,0.125747,0.062329,0.114456,1,0.611078,0.632067,1,0.721753,0.700338,0.815665,0.661735,0.813155,0.07476,1,0.555287,0.556741,0.538032,0.709295,0.627002,0.051668,0.010562,0.669095,0.578581,1,0.85193,0.058948,1,0.8004,0.78048,0.158566,0.058961,0.745985,0.91906,1,0.850007,0.616818,0.013465,0.874049,0.399857,1,0.931294,1,0.009296,0.829117,0.416469,0.671117,1,0.622455,0.714727,0.053437,0.896248,0.411392,0.36468,0.108782,0.929314,0.940698,0.398704,0.015128,0.723903,0.877853,0.769033,0.015567,0.030201,0.469028,0.477922,0.010228,0.042486,0.548786,0.116734,0.201899,0.494587,0.675837,0.317968,0.800333,0.445357,0.925188,0.807496,0.83203,0.811749,0.048448,0.334505,0.945328,0.908038,0.005292,0.759103,0.904149,0.052407,0.788992,1,0.588519,0.820037,0.846067,0.494931,0.012081,0.012774,0.716722,0.047638,0.356672,0.297343,0.444963,0.008111,0.460012,0.012487,0.78057,0.88115,0.011434,0.01116,0.0187,0.909208,0.011079,0.626036,0.574787,0.421831,0.806578,0.617194,0.422089,0.02783,0.024796,0.058372,0.035353,0.00332,0.941125,0.030962,0.01379,0.716948,0.004926,0.007413,0.64701,0.518724,0,1,0,0,0,0
0,0.000178,0.001937,0.470858,0.489108,0.466486,0.494163,0.158257,0.610823,0.496422,0.59166,0.000542,0.484512,0.000098,0.034406,0.474425,0.173052,0,0,0.000188,0.000027,0.145106,0.490495,0.486894,0.174808,0.545144,0.523517,0.602031,0.480162,0.577051,0.000268,0.171766,0.499061,0.498926,0.494274,0.489052,0.499799,0.003356,0.082615,0.510034,0.498591,0.402375,0.640667,0,0.355486,0.53073,0.372586,0.053572,0,0.525843,0.380837,0.339215,0.604569,0.659623,0.127423,0.426932,0.097475,0.688663,0.230632,0.283022,0.00569,0.440944,0.09829,0.464372,0.240238,0.658347,0.11335,0,0.89439,0.346667,0.099728,0.01821,0.512414,0.569288,0.717764,0.006438,0.887606,0.888464,0.482835,0.023577,0.002932,0.215498,0.109446,0.03371,0.00122,0.591927,0,0.055364,0.14705,0.506111,0.098283,0.556036,0.346667,0.1754,0.451134,0.515055,0.57596,0.000617,0.098249,0.620214,0.532771,0.016791,0.483684,0.4826,0,0.453971,0.374038,0.34679,0.319992,0.222234,0.347531,0.071377,0.165059,0.339959,0,0.097925,0.099454,0.139488,0.010092,0.108493,0.090551,0.148417,0.507023,0.087267,0.23811,0.118668,0.751588,0.028753,0.346667,0.347449,0.105361,0.378032,0.533985,0.101101,0.093941,0.0046,0.062915,0.089213,0.001291,0.733093,0.241608,0.142251,0.453738,0.019575,0.000308,0.367778,0.346667,0,1,0,0,0,0
0.040879,0.028226,0.004934,0.463433,0.433049,0.518798,0.475197,1,0.597044,0.483561,0.410782,0.009638,0.414274,0.001795,0.016562,0.531893,1,0.065755,0.131535,0.042648,0.031133,0.919306,0.501029,0.409096,1,0.486659,0.483125,0.492675,0.442241,0.77107,0.013776,0.726103,0.485407,0.401715,0.497752,0.55257,0.480531,0.005274,0.01818,0.321427,0.471294,1,0.674014,0.035472,1,0.701288,0.448628,0.074241,0.00047,0.538457,1,0.887066,0.545547,0.528361,0.005938,0.555947,0.242601,0.674673,1,1,0.064185,0.800892,0.154817,0.514839,0.762983,0.716975,0.852598,0.000173,0.582112,0.447984,0.131793,0.143445,0.673951,0.592156,0.641639,0.021452,0.698326,0.804239,0.639079,0.073912,0.001682,0.313729,0.288748,0.004047,0.083226,0.762874,0.019948,0.00643,0.332332,0.757881,0.237868,0.531613,0.3457,0.648081,0.820319,0.706742,0.441509,0.107145,0.110576,0.796285,0.613999,0.400531,0.480587,0.752377,0.002442,0.581735,0.535594,0.475103,0.530629,0.853195,0.459829,0.036387,0.031072,0.545419,0.066485,0.281229,0.097771,0.315396,0.022656,0.252797,0.710431,0.908193,0.902129,0.242438,0.018011,0.165807,0.585849,0.19384,0.45987,0.419801,0.192731,0.473985,0.44969,0.240748,0.209313,0.016812,0.252805,0.060903,0.004262,0.761084,0.032915,0.006808,0.477675,0.003012,0.014651,0.403868,0.402661,0,1,0,0,0,0
0.084135,0.014329,0.007963,0.478429,0.47863,0.50936,0.493816,0.219471,0.418251,0.496723,0.336735,0.007883,0.474638,0.045806,0.005924,0.193114,0.284062,0.05556,0.062883,0.004721,0.003612,0.29416,0.53508,0.442174,0.214998,0.451534,0.493313,0.366915,0.476751,0.422236,0.004548,0.206667,0.504193,0.479256,0.516114,0.257962,0.483763,0.009364,0.003269,0.298807,0.48922,0.18353,0.299964,0.003074,0.207461,0.282866,0.250288,0.357642,0.001703,0.301832,0.223206,0.318773,0.401056,0.335274,0.001827,0.591709,0.284575,0.427827,0.214942,0.245236,0.045288,0.350219,0.271832,0.597938,0.323526,0.41618,0.506832,0.046396,0.459047,0.329643,0.238667,0.013182,0.446132,0.536064,0.37262,0.005899,0.439849,0.424705,0.234915,0.017083,0.03059,0.344666,0.353012,0.018271,0.020741,0.423567,0.004795,0.078025,0.34226,0.342682,0.187755,0.529287,0.35,0.370616,0.696564,0.293642,0.305556,0.015171,0.251194,0.384338,0.247641,0.027801,0.756341,0.77739,0.057662,0.352709,0.471551,0.305254,0.677413,0.628004,0.309287,0.002268,0.032943,0.822636,0.001765,0.261356,0.206921,0.312215,0.013373,0.335866,0.098391,0.589897,0.374441,0.195262,0.00097,0.269095,0.339338,0.007585,0.318813,0.320562,0.276069,0.481022,0.910962,0.311202,0.04087,0.02265,0.245219,0.084781,0.014501,0.401715,0.02415,0.007448,0.228779,0.006913,0.001707,0.365898,0.333505,0,1,0,0,0,0
