@relation 'scene-weka.filters.unsupervised.attribute.Remove-V-R292,291,96,241,234,289,233,237,102,290,103,201,101,199,232,238,107,100,200,206,231,245,236,243,225,202,180,196,244,242,198,284,207,240,186,223,214,104,235,195,190,248,203,210,239,226,146,197,230,209,147,251,228,105,179,108,193,208,115,141,189,227,47,215,222,106,99,259,45,109,46,192,145,229,250,205,219,216,110,212,287,38,114,213,117,116,39,153,221,204,249,187,49,220,218,48,281,144,50,55,246,211,247,217,111,142,188,119,40,293,44,191,112,143,123,149,294,124,56,154,43,118,182,125,37,113,41,253,135,92,122,138,257,140,156,15,87,173,74,161,224,88,51,136,54,36,42,295-300'

@attribute Att292 numeric
@attribute Att291 numeric
@attribute Att96 numeric
@attribute Att241 numeric
@attribute Att234 numeric
@attribute Att289 numeric
@attribute Att233 numeric
@attribute Att237 numeric
@attribute Att102 numeric
@attribute Att290 numeric
@attribute Att103 numeric
@attribute Att201 numeric
@attribute Att101 numeric
@attribute Att199 numeric
@attribute Att232 numeric
@attribute Att238 numeric
@attribute Att107 numeric
@attribute Att100 numeric
@attribute Att200 numeric
@attribute Att206 numeric
@attribute Att231 numeric
@attribute Att245 numeric
@attribute Att236 numeric
@attribute Att243 numeric
@attribute Att225 numeric
@attribute Att202 numeric
@attribute Att180 numeric
@attribute Att196 numeric
@attribute Att244 numeric
@attribute Att242 numeric
@attribute Att198 numeric
@attribute Att284 numeric
@attribute Att207 numeric
@attribute Att240 numeric
@attribute Att186 numeric
@attribute Att223 numeric
@attribute Att214 numeric
@attribute Att104 numeric
@attribute Att235 numeric
@attribute Att195 numeric
@attribute Att190 numeric
@attribute Att248 numeric
@attribute Att203 numeric
@attribute Att210 numeric
@attribute Att239 numeric
@attribute Att226 numeric
@attribute Att146 numeric
@attribute Att197 numeric
@attribute Att230 numeric
@attribute Att209 numeric
@attribute Att147 numeric
@attribute Att251 numeric
@attribute Att228 numeric
@attribute Att105 numeric
@attribute Att179 numeric
@attribute Att108 numeric
@attribute Att193 numeric
@attribute Att208 numeric
@attribute Att115 numeric
@attribute Att141 numeric
@attribute Att189 numeric
@attribute Att227 numeric
@attribute Att47 numeric
@attribute Att215 numeric
@attribute Att222 numeric
@attribute Att106 numeric
@attribute Att99 numeric
@attribute Att259 numeric
@attribute Att45 numeric
@attribute Att109 numeric
@attribute Att46 numeric
@attribute Att192 numeric
@attribute Att145 numeric
@attribute Att229 numeric
@attribute Att250 numeric
@attribute Att205 numeric
@attribute Att219 numeric
@attribute Att216 numeric
@attribute Att110 numeric
@attribute Att212 numeric
@attribute Att287 numeric
@attribute Att38 numeric
@attribute Att114 numeric
@attribute Att213 numeric
@attribute Att117 numeric
@attribute Att116 numeric
@attribute Att39 numeric
@attribute Att153 numeric
@attribute Att221 numeric
@attribute Att204 numeric
@attribute Att249 numeric
@attribute Att187 numeric
@attribute Att49 numeric
@attribute Att220 numeric
@attribute Att218 numeric
@attribute Att48 numeric
@attribute Att281 numeric
@attribute Att144 numeric
@attribute Att50 numeric
@attribute Att55 numeric
@attribute Att246 numeric
@attribute Att211 numeric
@attribute Att247 numeric
@attribute Att217 numeric
@attribute Att111 numeric
@attribute Att142 numeric
@attribute Att188 numeric
@attribute Att119 numeric
@attribute Att40 numeric
@attribute Att293 numeric
@attribute Att44 numeric
@attribute Att191 numeric
@attribute Att112 numeric
@attribute Att143 numeric
@attribute Att123 numeric
@attribute Att149 numeric
@attribute Att294 numeric
@attribute Att124 numeric
@attribute Att56 numeric
@attribute Att154 numeric
@attribute Att43 numeric
@attribute Att118 numeric
@attribute Att182 numeric
@attribute Att125 numeric
@attribute Att37 numeric
@attribute Att113 numeric
@attribute Att41 numeric
@attribute Att253 numeric
@attribute Att135 numeric
@attribute Att92 numeric
@attribute Att122 numeric
@attribute Att138 numeric
@attribute Att257 numeric
@attribute Att140 numeric
@attribute Att156 numeric
@attribute Att15 numeric
@attribute Att87 numeric
@attribute Att173 numeric
@attribute Att74 numeric
@attribute Att161 numeric
@attribute Att224 numeric
@attribute Att88 numeric
@attribute Att51 numeric
@attribute Att136 numeric
@attribute Att54 numeric
@attribute Att36 numeric
@attribute Att42 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}

@data
0.025638,0.020285,0.070464,1,0.824041,0.03904,0.93202,0.981962,0.232503,0.026692,0.23275,0.472502,0.216989,0.541253,0.911355,1,0.209822,0.236495,0.471026,0.796621,0.989544,1,0.964271,1,1,0.453849,0.164602,0.008065,1,1,0.447542,0.247724,0.724336,1,0.031316,0.997842,1,0.241632,0.919496,0.005187,0.004634,0.401962,0.475968,0.809458,0.953402,1,0.027106,0.372439,0.894581,0.795424,0.041756,0.123271,0.846428,0.265137,0.017386,0.193148,0.009391,0.758119,0.199088,0.12142,0.032151,0.829263,0.595355,1,0.962135,0.250213,0.245089,0.294204,0.613816,0.204609,0.617137,0.013866,0.014506,0.815094,0.055261,0.679225,0.952451,0.895274,0.209081,0.880412,0.148604,0.601257,0.186296,0.847781,0.195713,0.198964,0.710896,0.002461,1,0.663692,0.034213,0.036432,0.468693,0.974671,0.928174,0.555367,0.156943,0.037455,0.05609,0.232466,0.01132,0.846842,0.179208,0.886384,0.242572,0.10679,0.065432,0.238203,0.732168,0.025592,0.579962,0.011203,0.265638,0.062977,0.166433,0.006295,0.06252,0.170905,0.353244,0.006428,0.495742,0.222435,0.004448,0.159534,0.675885,0.184787,0.704778,0.336342,0.135096,0.091402,0.159026,0.132949,0.196901,0.10454,0.017702,0.744025,0.485305,0.010339,0.027331,0.010437,0.994465,0.178792,0.221849,0.192071,0.155728,0.600462,0.637594,0,0,0,1,0,0
0.017694,0.012687,0.007803,1,1,0.020247,1,1,0.168598,0.013358,0.163137,0.394182,0.22955,0.411066,1,1,0.300915,0.229964,0.391269,0.490018,1,1,1,1,1,0.418466,0.00222,0.001611,1,1,0.419793,0.01362,0.55095,1,0.000961,1,0.870074,0.152389,1,0.001857,0.001335,0.015906,0.446469,0.771112,1,1,0.264023,0.396798,1,0.716172,0.257582,0.156785,0.958487,0.168497,0.046594,0.284009,0.000542,0.680638,0.33024,0.250472,0.001262,1,0.668697,0.891316,1,0.281663,0.205752,0.075734,0.657191,0.269085,0.666951,0.000582,0.266768,0.990895,0.024981,0.576845,0.981221,0.792673,0.297502,0.669887,0.009147,0.66682,0.331213,0.772793,0.344524,0.344372,0.680205,0.044729,0.875201,0.585465,0.02304,0.002548,0.668926,0.997028,0.895022,0.671775,0.011267,0.264503,0.009276,0.16161,0.022767,0.606446,0.020429,0.732097,0.299136,0.258664,0.002313,0.332055,0.690245,0.015378,0.63895,0.001569,0.33016,0.26337,0.385519,0.02769,0.013119,0.339259,0.169407,0.067588,0.616594,0.32658,0.002279,0.328882,0.654723,0.339579,0.687301,0.229803,0.254314,0.014318,0.348155,0.267088,0.219123,0.261801,0.010342,0.206057,0.007453,0.001121,0.174463,0.004394,1,0.004441,0.006442,0.259542,0.038465,0.666608,0.685236,0,0,0,1,0,0
0.075184,0.078526,0.09247,0.901749,0.948616,0.10139,0.929035,0.919652,0.124636,0.089134,0.134355,0.089976,0.125816,0.190407,0.857767,0.881844,0.148807,0.12738,0.136406,0.314614,0.890768,0.832047,0.938048,0.90308,0.872808,0.047817,0.001167,0.012527,0.885814,0.911858,0.249418,0.04218,0.274524,0.858808,0.004118,0.65412,0.517579,0.151241,0.93419,0.00502,0.01329,0.015867,0.030182,0.161075,0.81193,0.913636,0.465199,0.281792,0.909465,0.202015,0.494979,0.020176,0.927335,0.164479,0.000786,0.141996,0.012671,0.237777,0.293299,0.493038,0.004977,0.924506,0.746996,0.383812,0.718655,0.152366,0.127401,0.032236,0.686618,0.127791,0.723269,0.008928,0.443813,0.922504,0.022893,0.380927,0.603417,0.358528,0.118532,0.58084,0.036674,0.789625,0.261914,0.641953,0.160343,0.235816,0.821649,0.001046,0.730162,0.373345,0.016967,0.001744,0.652247,0.688149,0.633823,0.743347,0.079213,0.479753,0.005493,0.018009,0.007242,0.584329,0.017551,0.329017,0.114424,0.50201,0.004039,0.145254,0.837198,0.067661,0.584188,0.01396,0.125638,0.491097,0.330823,0.000244,0.068946,0.269787,0.016007,0.001608,0.484044,0.152236,0.001368,0.270693,0.709041,0.232112,0.834978,0.043887,0.475658,0.119021,0.349726,0.431008,0.036369,0.45847,0.005747,0.26743,0.056058,0.02809,0.284566,0.00065,0.715837,0.049982,0.008323,0.457545,0.016645,0.605866,0.788819,0,0,0,1,0,0
0.027123,0.010508,0.007074,0.748077,0.734982,0.024385,0.717738,0.769916,0.291886,0.013403,0.290514,0.48128,0.334424,0.491702,0.717537,0.782732,0.315926,0.343621,0.483662,0.511138,0.680813,0.741792,0.747216,0.75038,0.649289,0.481694,0.003432,0.003582,0.731951,0.73799,0.497898,0.061828,0.485384,0.742944,0.008517,0.695652,0.582114,0.297826,0.675535,0.009216,0.002823,0.00179,0.487721,0.478977,0.752091,0.634516,0.32583,0.514582,0.669451,0.480207,0.339993,0.001116,0.688294,0.315837,0.006724,0.326269,0.001684,0.483942,0.326241,0.299012,0.004903,0.669205,0.643257,0.551821,0.67946,0.302257,0.292565,0.000204,0.634395,0.341749,0.645944,0.000872,0.288738,0.695675,0.001908,0.576758,0.649401,0.537115,0.333868,0.614578,0.0138,0.665202,0.325261,0.594516,0.340713,0.336557,0.644602,0.005236,0.661344,0.484903,0.001619,0.004125,0.630615,0.632012,0.663055,0.63781,0.031355,0.300213,1,0.000609,0.037213,0.59191,0.00056,0.535684,0.340027,0.296934,0.002168,0.342373,0.662891,0.019626,0.627354,0.003038,0.34594,0.291331,0.311701,0.000278,0.013984,0.300905,0.000514,0.003696,0.611185,0.343882,0.005417,0.298224,0.652702,0.314444,0.653483,0.099928,0.31917,0.006238,0.323834,0.298971,0.001237,0.300364,0.004657,0.403125,0.009048,0.003239,0.045447,0.000063,0.673455,0.046358,0.000108,0.325789,0.000727,0.624093,0.642109,0,0,0,1,0,0
0.03494,0.049294,0.029755,0.933314,0.906342,0.043066,0.923214,0.864793,0.219891,0.049577,0.204982,0,0.232651,0.018317,0.907703,0.816319,0.279811,0.230922,0,0.171782,0.818864,0.83717,0.885526,0.930402,0.845908,0,0.054088,0.008995,0.913209,0.943142,0,0.028924,0.257957,0.923617,0.002355,0.602811,0.272793,0.21016,0.899758,0.007234,0.007661,0.340712,0,0,0.915483,0.792034,0.231845,0.251989,0.808835,0.102846,0.242106,0.197544,0.854457,0.167916,0.006907,0.249956,0.007294,0.168253,0.198896,0.252883,0.00499,0.822606,0.693187,0.371933,0.630518,0.279237,0.290966,0.035109,0.655871,0.268853,0.695638,0.006411,0.222818,0.796841,0.029303,0.304241,0.577105,0.251433,0.252077,0.18509,0.027842,0.710157,0.210806,0.178614,0.249375,0.195345,0.72088,0.005711,0.599934,0.279057,0.272021,0.002867,0.629027,0.58074,0.656401,0.68901,0.027716,0.235497,0.15263,0.096998,0.313913,0.382578,0.106063,0.197665,0.235824,0.262244,0.002828,0.253486,0.706354,0.049431,0.64366,0.005692,0.205127,0.266826,0.227502,0.005096,0.032341,0.3565,0.011404,0.002257,0.575886,0.235367,0.007207,0.300007,0.672976,0.159637,0.680473,0.385939,0.240501,0.032139,0.250683,0.262578,0.448814,0.298722,0.00885,0.422673,0.022785,0.474707,0.387755,0.002222,0.586921,0.020659,0.038552,0.259434,0.020825,0.614758,0.643822,0,0,0,1,0,0
0.026236,0.023457,0.010173,1,1,0.022931,1,1,0.283992,0.022653,0.283388,0.180712,0.284787,0.187276,1,1,0.299211,0.281481,0.186371,0.312075,1,1,1,1,1,0.163793,0.002639,0.000856,1,1,0.193114,0.010838,0.318326,1,0.000592,1,0.886149,0.289938,1,0.001398,0.000821,0.001518,0.154232,0.401771,1,1,0.473512,0.1892,1,0.337191,0.472291,0.001846,1,0.284623,0.003309,0.307291,0.001011,0.248535,0.377661,0.468772,0.000559,1,0.842303,1,1,0.295672,0.283944,1,0.840896,0.305734,0.845208,0.00106,0.480494,1,0.001417,0.217156,1,1,0.301948,1,0.01173,0.866106,0.435336,0.946681,0.448642,0.366927,0.868372,0.000187,0.996981,0.232275,0.001568,0.000722,0.845651,1,1,0.84115,0.013298,0.482675,0.000052,0,0.001338,1,0.000661,1,0.324822,0.476982,0.000605,0.445693,0.870497,0.025057,0.836633,0.000971,0.336509,0.483642,0.430775,0.000097,0.024041,0.462709,0,0.000388,0.825783,0.446084,0.000366,0.4607,0.859685,0.425885,0.869342,0.082726,0.478964,0.007518,0.445178,0.485809,0.362579,0.472277,0.000536,0.798386,0.003448,0.000549,0.352693,0.019802,1,0.003461,0.000098,0.486132,0,0.847532,0.870267,0,0,0,1,0,0
0.148702,0.116824,0.232361,0.72655,0.732499,0.258433,0.709373,0.739768,0.206104,0.23011,0.202524,0.379317,0.278272,0.370538,0.769022,0.713578,0.32332,0.218162,0.39126,0.651257,0.743872,0.665325,0.742306,0.721048,0.708591,0.34947,0.182196,0.211624,0.743279,0.657307,0.361435,0.216616,0.662138,0.746287,0.187727,0.793232,0.862162,0.221406,0.79652,0.182575,0.048464,0.006796,0.315005,0.667796,0.622629,0.755591,0.521488,0.327664,0.756933,0.657363,0.602257,0.011627,0.811695,0.172291,0.213277,0.362956,0.080263,0.667796,0.336324,0.659012,0.221457,0.807378,0.602835,0.848463,0.816481,0.330364,0.180837,0.912397,0.64658,0.336427,0.501355,0.127047,0.589973,0.796688,0.010746,0.648875,0.805354,0.840267,0.33915,0.879272,0.219173,0.596634,0.32965,0.881833,0.355096,0.357106,0.662051,0.079388,0.850476,0.60108,0.005592,0.181209,0.436182,0.832327,0.793277,0.588278,0.258427,0.671468,0.015557,0.048137,0.013924,0.883778,0.008491,0.818829,0.342764,0.54107,0.229522,0.361331,0.587706,0.282355,0.636705,0.171408,0.330844,0.571962,0.415672,0.062334,0.261945,0.433567,0.007846,0.01215,0.500388,0.346324,0.171974,0.435336,0.589306,0.318059,0.572574,0.759109,0.570439,0.102583,0.465857,0.573704,0.772156,0.525933,0.079832,0.659465,0.207165,0.084581,0.197394,0.107001,0.768418,0.205049,0.023569,0.593731,0.025854,0.625997,0.535749,0,0,0,1,0,0
0.144897,0.348675,0.09705,0.629037,0.815821,0.311138,0.966452,0.995628,0.334623,0.425098,0.329877,0.419104,0.336454,0.452328,0.920446,0.751163,0.261612,0.336646,0.449041,0.358561,1,0.92209,0.898752,1,0.981235,0.414072,0.019083,0.002234,0.989388,0.893418,0.450215,0.524058,0.314189,0.541108,0.019417,1,0.948381,0.329616,0.632157,0.001819,0.011676,0.011781,0.392848,0.285471,0.516125,0.898741,0.226893,0.435845,1,0.26059,0.240391,0.028186,1,0.323642,0.020678,0.272545,0.006926,0.266494,0.200247,0.310343,0.021236,0.882604,0.483941,0.891617,1,0.247305,0.334472,0.103581,0.292025,0.266276,0.466125,0.012806,0.22262,1,0.050309,0.362229,1,0.9011,0.261269,0.738638,1,0.468176,0.214561,0.838567,0.199499,0.184053,0.766794,0.000907,1,0.329979,0.015356,0.023039,0.418894,1,1,0.465967,1,0.231591,0.048482,0.01462,0.028887,0.533861,0.008878,0.837437,0.249472,0.295322,0.013999,0.197023,0.684939,0.204092,0.282814,0.014159,0.244657,0.278896,0.215453,0.000484,0.29054,0.212702,0.017636,0.001146,0.298517,0.188032,0.009931,0.207668,0.580993,0.239842,0.600311,0.152559,0.191509,0.851901,0.215713,0.221433,0.084675,0.250343,0.008559,0.272615,0.728894,0.00966,0.188105,0.005096,1,0.471194,0.007466,0.263422,0.023282,0.507057,0.406597,0,0,0,1,0,0
0.546774,0.535767,0.446471,0.734993,1,0.114576,1,0.660583,0.247414,0.60404,0.266591,0.161344,0.235549,0.129037,0.989365,0.510858,0.293045,0.231989,0.14164,0.326165,0.385064,0.309861,0.682322,0.569791,1,0.039531,0.037448,0.010202,0.290627,0.657228,0.11791,0.539089,0.309447,0.96492,0.047308,0.486961,0.483315,0.192668,0.976583,0.009009,0.053715,0.040311,0,0.187466,0.925713,1,0.339376,0.085536,0.687869,0.210447,0.326605,0.057689,1,0.147668,0.011686,0.292387,0.055518,0.276335,0.373196,0.140864,0.054146,1,0.178698,0.454542,0.523506,0.296578,0.212682,0.1527,0.317075,0.285336,0.260646,0.050558,0.232277,0.948213,0.186392,0.32356,0.734579,0.39864,0.284232,0.486905,0.538541,0.708655,0.374054,0.490573,0.34677,0.364287,0.577266,0.006488,0.599716,0.306227,0.097003,0.036314,0,0.710436,0.688283,0,0.157308,0.16904,0.012894,0.015082,0.045863,0.462471,0.041366,0.366624,0.268306,0.148546,0.040848,0.282325,0.276184,0.075342,0.560782,0.059078,0.217647,0.145123,0.268594,0.005356,0.053069,0.268663,0.020043,0.003715,0.514585,0.326283,0.029769,0.265624,0.6516,0.367888,0.26329,0.044501,0.235281,0.10973,0.299973,0.172037,0.037001,0.235789,0.002302,0.905759,0.069089,0.038632,0.188256,0.011412,0.409767,0.428609,0.009869,0.275309,0.043539,0.582543,0.125535,0,0,0,1,0,0
0.057679,0.159615,0.037087,1,1,0.20042,1,1,0.274108,0.289232,0.268457,0.230128,0.276001,0.219337,1,1,0.321701,0.288107,0.204822,0.277599,1,1,1,1,1,0.52345,0.009185,0.002853,1,1,0.276995,0.022798,0.258398,1,0.001566,0.676239,0.44005,0.250199,1,0.003765,0.001772,0.005264,0.443997,0.299058,1,1,0.268272,0.286836,1,0.315743,0.254204,0.589918,1,0.255281,0.013852,0.270885,0.02424,0.269189,0.277949,0.277222,0.01671,1,0.729008,0.444713,0.690586,0.324534,0.286577,0.155264,0.586923,0.278018,0.703839,0.016519,0.291619,1,0.08965,0.430913,0.525374,0.408928,0.273471,0.391215,0.049157,0.757858,0.319856,0.345433,0.286008,0.29369,0.770264,0.009048,0.74385,0.439211,0.006233,0.001638,0.700532,0.599358,0.462012,0.720624,0.165207,0.31428,0.015177,0.28171,0.067105,0.381475,0.088551,0.499105,0.268923,0.29583,0.004555,0.299849,0.762534,0.053629,0.560929,0.010602,0.267984,0.333786,0.302202,0.002211,0.054082,0.339726,0.488267,0.009916,0.607609,0.275974,0.011795,0.327449,0.705637,0.35832,0.744962,0.044672,0.284431,0.023661,0.304095,0.235905,0.052177,0.247483,0.002334,0.121985,0.01329,0.013417,0.407733,0.005174,0.751487,0.013597,0.018878,0.251914,0.030822,0.67346,0.717432,0,0,0,1,0,0
