@relation 'scene-weka.filters.unsupervised.attribute.Remove-V-R292,289,291,96,102,94,233,201,103,206,200,241,234,190,290,242,237,202,198,240,108,104,238,232,110,231,245,225,196,147,284,235,248,236,226,243,199,208,244,207,186,239,106,251,141,230,205,194,229,70,107,116,209,222-223,101,213,193,46,43,109,145,100,203,214,45,215,227,144,47,105,146,250,220,224,221,204,212,197,219,195,48,216,143,111,259,153,180,55,210,52,281,246,228,99,88,38,287,49,217,142,149,154,95,40-41,192,189,39,44,293,247,135,118,87,123,117,138,119,37,112,139,156,54,115,51,294,191,113,140,288,124,161,36,187,136,150,42,257,93,92,114,90,218,133,148,253,295-300'

@attribute Att292 numeric
@attribute Att289 numeric
@attribute Att291 numeric
@attribute Att96 numeric
@attribute Att102 numeric
@attribute Att94 numeric
@attribute Att233 numeric
@attribute Att201 numeric
@attribute Att103 numeric
@attribute Att206 numeric
@attribute Att200 numeric
@attribute Att241 numeric
@attribute Att234 numeric
@attribute Att190 numeric
@attribute Att290 numeric
@attribute Att242 numeric
@attribute Att237 numeric
@attribute Att202 numeric
@attribute Att198 numeric
@attribute Att240 numeric
@attribute Att108 numeric
@attribute Att104 numeric
@attribute Att238 numeric
@attribute Att232 numeric
@attribute Att110 numeric
@attribute Att231 numeric
@attribute Att245 numeric
@attribute Att225 numeric
@attribute Att196 numeric
@attribute Att147 numeric
@attribute Att284 numeric
@attribute Att235 numeric
@attribute Att248 numeric
@attribute Att236 numeric
@attribute Att226 numeric
@attribute Att243 numeric
@attribute Att199 numeric
@attribute Att208 numeric
@attribute Att244 numeric
@attribute Att207 numeric
@attribute Att186 numeric
@attribute Att239 numeric
@attribute Att106 numeric
@attribute Att251 numeric
@attribute Att141 numeric
@attribute Att230 numeric
@attribute Att205 numeric
@attribute Att194 numeric
@attribute Att229 numeric
@attribute Att70 numeric
@attribute Att107 numeric
@attribute Att116 numeric
@attribute Att209 numeric
@attribute Att222 numeric
@attribute Att223 numeric
@attribute Att101 numeric
@attribute Att213 numeric
@attribute Att193 numeric
@attribute Att46 numeric
@attribute Att43 numeric
@attribute Att109 numeric
@attribute Att145 numeric
@attribute Att100 numeric
@attribute Att203 numeric
@attribute Att214 numeric
@attribute Att45 numeric
@attribute Att215 numeric
@attribute Att227 numeric
@attribute Att144 numeric
@attribute Att47 numeric
@attribute Att105 numeric
@attribute Att146 numeric
@attribute Att250 numeric
@attribute Att220 numeric
@attribute Att224 numeric
@attribute Att221 numeric
@attribute Att204 numeric
@attribute Att212 numeric
@attribute Att197 numeric
@attribute Att219 numeric
@attribute Att195 numeric
@attribute Att48 numeric
@attribute Att216 numeric
@attribute Att143 numeric
@attribute Att111 numeric
@attribute Att259 numeric
@attribute Att153 numeric
@attribute Att180 numeric
@attribute Att55 numeric
@attribute Att210 numeric
@attribute Att52 numeric
@attribute Att281 numeric
@attribute Att246 numeric
@attribute Att228 numeric
@attribute Att99 numeric
@attribute Att88 numeric
@attribute Att38 numeric
@attribute Att287 numeric
@attribute Att49 numeric
@attribute Att217 numeric
@attribute Att142 numeric
@attribute Att149 numeric
@attribute Att154 numeric
@attribute Att95 numeric
@attribute Att40 numeric
@attribute Att41 numeric
@attribute Att192 numeric
@attribute Att189 numeric
@attribute Att39 numeric
@attribute Att44 numeric
@attribute Att293 numeric
@attribute Att247 numeric
@attribute Att135 numeric
@attribute Att118 numeric
@attribute Att87 numeric
@attribute Att123 numeric
@attribute Att117 numeric
@attribute Att138 numeric
@attribute Att119 numeric
@attribute Att37 numeric
@attribute Att112 numeric
@attribute Att139 numeric
@attribute Att156 numeric
@attribute Att54 numeric
@attribute Att115 numeric
@attribute Att51 numeric
@attribute Att294 numeric
@attribute Att191 numeric
@attribute Att113 numeric
@attribute Att140 numeric
@attribute Att288 numeric
@attribute Att124 numeric
@attribute Att161 numeric
@attribute Att36 numeric
@attribute Att187 numeric
@attribute Att136 numeric
@attribute Att150 numeric
@attribute Att42 numeric
@attribute Att257 numeric
@attribute Att93 numeric
@attribute Att92 numeric
@attribute Att114 numeric
@attribute Att90 numeric
@attribute Att218 numeric
@attribute Att133 numeric
@attribute Att148 numeric
@attribute Att253 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}

@data
0.360963,0.278237,0.338109,0.269409,0.253903,0.224188,0.691034,0.194389,0.257702,0.239622,0.196133,0.570205,0.713835,0.191376,0.275073,0.622059,0.714484,0.192644,0.19677,0.56231,0.284081,0.261516,0.68088,0.709183,0.255782,0.350454,0.665336,0.708859,0.12125,0.664218,0.0308,0.74253,0.000502,0.744957,0.661489,0.654209,0.197352,0.259349,0.677279,0.252706,0.036224,0.57772,0.329842,0.012985,0.552627,0.41632,0.298354,0.155095,0.534487,0.01021,0.324211,0.31856,0.2448,0.378981,0.330582,0.257922,0.384136,0.155291,0.462729,0.40431,0.267867,0.62406,0.256818,0.176664,0.34994,0.391337,0.330649,0.611122,0.600761,0.503709,0.266948,0.659733,0.00775,0.451434,0.324164,0.442342,0.340725,0.45083,0.216564,0.552648,0.142515,0.506878,0.341128,0.537449,0.2662,0.003486,0.000241,0.09421,0.004805,0.202675,0.000554,0.035048,0.006137,0.612464,0.25762,0.047085,0.587155,0.12999,0.508639,0.313003,0.519492,0.000451,0.000422,0.289104,0.632959,0.587423,0.138746,0.071652,0.643029,0.389948,0.234609,0.000392,0.74489,0.318196,0.081324,0.479685,0.308999,0.754623,0.302161,0.551771,0.275823,0.755487,0.015914,0.002609,0.362819,0.000082,0.246163,0.126448,0.448368,0.702503,0.403322,0.361824,0.000212,0.564813,0.045356,0.790645,0.000237,0.591561,0.008694,0.258825,0.377876,0.438861,0.070625,0.530294,0.334239,0.000412,0.052923,0,0,0,0,1,0
0.127309,0.072952,0.174252,0.400031,0.329774,0.287764,0.458937,0.497998,0.328772,0.418713,0.499911,0.628187,0.435107,0.004764,0.121505,0.584821,0.704363,0.476036,0.486335,0.57782,0.320665,0.323121,0.728127,0.479122,0.33323,0.720914,0.685308,0.471484,0.006171,0.40369,0.18658,0.608617,0.002299,0.669395,0.459921,0.63663,0.50303,0.480531,0.681025,0.479491,0.009203,0.536277,0.299163,0.008351,0.341365,0.693729,0.363538,0.005367,0.746835,0.174873,0.293038,0.384979,0.55229,0.676284,0.733953,0.327833,0.428923,0.011309,0.351778,0.209052,0.333704,0.39155,0.329664,0.718331,0.562545,0.40777,0.631911,0.470064,0.389321,0.511133,0.42727,0.3981,0.000536,0.533503,0.759707,0.595925,0.399054,0.465121,0.413815,0.535248,0.005754,0.545697,0.734042,0.361818,0.358923,0.065274,0.000846,0.003539,0.011405,0.725443,0.012564,0.039642,0.047492,0.643273,0.310288,0.440316,0.210726,0.039767,0.521867,0.74281,0.343073,0.001028,0.015798,0.381672,0.573819,0.604321,0.0043,0.002945,0.413206,0.226537,0.078921,0.020035,0.348505,0.447229,0.086204,0.394835,0.396015,0.421598,0.456927,0.207282,0.467119,0.406221,0.002484,0.001198,0.31382,0.107301,0.065029,0.004562,0.338025,0.414952,0.07283,0.422853,0.008367,0.216235,0.007001,0.375542,0.000349,0.681614,0.011079,0.203647,0.164174,0.317936,0.243988,0.491781,0.418203,0.002348,0.054283,0,0,0,0,1,0
0.535408,0.029868,0.215921,0.110304,0.149486,0.22919,0.027577,0.220299,0.146392,0.147801,0.153158,0.267657,0.463723,0.003291,0.873917,0.68003,0.430198,0.263598,0.037037,0,0.147222,0.14585,0.530506,0,0.136687,0.39854,0.58094,0.481191,0.043657,0.197641,0.096846,0.818841,0.006716,0.586587,0.575114,0.643619,0.087516,0.24565,0.262212,0.252214,0.047561,0,0.031276,0.021471,0.376337,0.471216,0.085704,0.033699,0.508722,0.020094,0.110281,0.13417,0.231906,0.339909,0.249944,0.11177,0.227489,0.041277,0.454489,0.113171,0.157476,0.133011,0.014143,0.255904,0.198247,0.364668,0.163446,0.193896,0.160933,0.609469,0.145274,0.018086,0.022229,0.144749,0.188618,0.213332,0.060331,0.196077,0,0.375626,0.035349,0.412751,0.090859,0.121893,0.140316,0.200487,0.00032,0.043923,0.005755,0.128623,0.009123,0.054284,0.038206,0.431484,0.008923,0.166663,0.591536,0.100321,0.408746,0.029064,0.27275,0.015505,0.002657,0.359255,0.487264,0.276542,0.062097,0.032852,0.744004,0.159738,0.145275,0.005399,0.088203,0.019856,0.195526,0.122572,0.078944,0.126235,0.064588,0.372577,0.054424,0.178237,0.004643,0.00688,0.166653,0.015072,0.475385,0.048402,0.205487,0.219239,0.109058,0.15085,0.019892,0.176626,0.018615,0.145857,0.00286,0.393475,0.092653,0.059145,0.009618,0.168141,0.167638,0.532598,0.208635,0.015813,0.017717,0,0,0,0,1,0
0.073649,0.076521,0.07148,0.153672,0.351577,0.189337,0.575751,0.418176,0.370089,0.412842,0.466363,0.62859,0.608819,0.003063,0.066051,0.625369,0.616222,0.342727,0.395587,0.619453,0.36369,0.398059,0.558016,0.589909,0.359733,0.538782,0.554862,0.209698,0.005354,0.351776,0.110883,0.646996,0.013855,0.636272,0.606705,0.612822,0.408906,0.342112,0.563954,0.361995,0.009664,0.541018,0.517606,0.029925,0.334252,0.560107,0.395352,0.008615,0.507,0.17609,0.403855,0.306632,0.316604,0.247093,0.559045,0.381749,0.628355,0.027688,0.481879,0.656503,0.37142,0.33701,0.382833,0.347457,0.45518,0.474362,0.416723,0.661679,0.377894,0.478533,0.387798,0.388951,0.025432,0.560934,0.580392,0.274401,0.43268,0.627516,0.351952,0.463757,0.026747,0.521247,0.579196,0.413148,0.360734,0.021153,0.003359,0.046638,0.03754,0.277118,0.373907,0.240167,0.033538,0.506139,0.456866,0.09101,0.454687,0.013462,0.579919,0.483025,0.393519,0.001875,0.000705,0.322121,0.429332,0.534573,0.050024,0.002939,0.435231,0.529803,0.014411,0.008704,0.336543,0.281427,0.121685,0.080124,0.261495,0.353381,0.26797,0.449499,0.365672,0.334918,0.014714,0.009212,0.281228,0.257735,0.022155,0.023095,0.352003,0.357572,0.014381,0.09203,0.002066,0.559567,0.012833,0.35227,0.002254,0.599888,0.015019,0.140631,0.098131,0.298148,0.107539,0.356247,0.359321,0.072114,0.073988,0,0,0,0,1,0
0.157597,0.035088,0.109747,0.721211,0.325487,0.435413,0.548656,0.456544,0.298649,0.29264,0.482779,0.612677,0.539643,0.009446,0.023177,0.610161,0.515432,0.482141,0.465088,0.618715,0.031454,0.327147,0.451266,0.561863,0.236317,0.327664,0.553744,0.2968,0.012509,0.419362,0.107853,0.527386,0.021273,0.535427,0.370247,0.514079,0.449298,0.416779,0.58056,0.399278,0.053173,0.62339,0.170069,0.005946,0.38989,0.288413,0.305488,0.035375,0.234076,0.091404,0.091187,0,0.470657,0.241725,0.260456,0.284424,0.265343,0.039608,0.547327,0.784977,0.19072,0.400672,0.303752,0.48865,0.247428,0.637516,0.232946,0.204699,0.411872,0.36992,0.340034,0.424575,0.007268,0.32328,0.279701,0.31978,0.36734,0.276872,0.380759,0.352702,0.011349,0.545114,0.282844,0.411344,0.318217,0.001612,0.002716,0.054429,0.000545,0.493514,0.036778,0.097723,0.083688,0.246925,0.185329,0.132629,0.689275,0.123168,0.63597,0.344717,0.411838,0.001405,0.000571,0.440847,0.66364,0.607327,0.016552,0.051662,0.677249,0.741051,0.069932,0.0037,0.379479,0.05904,0.073669,0.118196,0,0.373841,0.211248,0.726236,0.343285,0.361475,0.157228,0.001293,0,0.000846,0.029039,0.007335,0.009664,0.328162,0.059881,0.055343,0.000283,0.726948,0.025536,0.362874,0.018633,0.583901,0.087517,0.243108,0.278814,0.030487,0.182302,0.332025,0.172901,0.065049,0.051205,0,0,0,0,1,0
0.021167,0.04244,0.005565,0.024793,0.274911,0.031549,0.593767,0.05096,0.131989,0.102523,0.285952,0.611581,0.590736,0.021168,0.004194,0.582293,0.619845,0.010277,0.001308,0.604826,0.131674,0.11631,0.681249,0.594482,0.128217,0.565318,0.665179,0.597569,0.001153,0.430487,0.00923,0.601606,0.088586,0.605934,0.579408,0.603507,0.04964,0.081019,0.640891,0.151078,0.000893,0.541264,0.09177,0.007474,0.520775,0.61157,0.05465,0.000743,0.587672,0.25193,0.08941,0.20858,0.128277,0.445339,0.435644,0.130041,0.228239,0.000799,0.663098,0.256724,0.175117,0.40677,0.103553,0.066023,0.183072,0.680179,0.238862,0.501208,0.4031,0.661217,0.171502,0.418587,0.075317,0.44043,0.433485,0.480565,0.033783,0.385534,0,0.536422,0.000731,0.652782,0.301966,0.413361,0.162778,0.200035,0.000688,0.034424,0.006613,0.18088,0.062809,0.026855,0.00258,0.56505,0.098985,0.013183,0.694109,0.05447,0.632215,0.324745,0.411989,0.000353,0.022221,0.020215,0.709394,0.692805,0.001089,0.006911,0.700762,0.69012,0.007166,0.007017,0.400082,0.272743,0.029713,0.392593,0.236557,0.401406,0.305418,0.71356,0.219424,0.407524,0.000813,0.051115,0.238347,0.008136,0.006718,0.008973,0.440268,0.436502,0.054803,0.431523,0.030014,0.29978,0.000386,0.403457,0.020922,0.616747,0.068224,0.110532,0.181748,0.301481,0.033042,0.600186,0.474918,0.001117,0.008878,0,0,0,0,1,0
0.037292,0.023406,0.043314,0.012572,0.339698,0.014353,0.313652,0.475946,0.338265,0.48298,0.468487,0.223687,0.384036,0.005862,0.042385,0.237464,0.567018,0.453748,0.449465,0.171408,0.364588,0.303676,0.459731,0.266394,0.358374,0.466944,0.185241,0.535572,0.004014,0.170905,0.212783,0.38502,0.001183,0.522746,0.570809,0.2361,0.475051,0.468744,0.212102,0.414218,0.013577,0.114835,0.294252,0.002811,0.107222,0.657385,0.473788,0.001932,0.696077,0.329706,0.33856,0.306461,0.530014,0.726494,0.701769,0.334417,0.584239,0.003876,0.759135,0.642747,0.369424,0.188813,0.292058,0.42313,0.573862,0.765166,0.707081,0.598195,0.193196,0.773973,0.25832,0.179136,0.003571,0.641461,0.636462,0.609501,0.44166,0.549897,0.410281,0.661757,0.002096,0.697393,0.70045,0.184911,0.302702,0.089376,0.001777,0.015887,0.000377,0.48213,0,0.042921,0.007095,0.577362,0.22214,0.178043,0.754976,0.178922,0.62497,0.539631,0.161694,0.001616,0.002397,0.063583,0.383021,0.217037,0.002421,0.012995,0.503075,0.716828,0.06246,0.002118,0.21952,0.306687,0.144326,0.370117,0.307407,0.252565,0.291063,0.819635,0.269897,0.277215,0.001437,0.006608,0.324506,0.000345,0.043306,0.001786,0.283251,0.304465,0.013124,0.394979,0.005899,0.777509,0.015909,0.262421,0.000662,0.074412,0.084707,0.011463,0.017241,0.311783,0.148273,0.701322,0.332298,0.004507,0.005475,0,0,0,0,1,0
0.673837,0.007135,0.273423,0.531869,0.355672,0.006698,0.105878,0.468633,0.350185,0.261104,0.468174,0.13313,0.161511,0.00385,0.0071,0.26986,0.380994,0.476897,0.395218,0.125649,0.438553,0.347003,0.337806,0.055142,0.414342,0.111961,0.529433,0.186762,0.072845,0.607236,0.013606,0.172079,0.014358,0.195663,0.133879,0.35051,0.433698,0.3247,0.544272,0.231392,0.062549,0.076188,0.546214,0.00376,0,0.340569,0.102389,0.450048,0.194948,0.012518,0.506763,0.499431,0.307334,0.253735,0.329352,0.35607,0.235093,0.72505,0.632142,0.611527,0.441982,0.408717,0.373484,0.415258,0.234926,0.690766,0.390522,0.152576,0.237414,0.477874,0.365096,0.481776,0.017931,0.181584,0.267602,0.268888,0.031982,0.259796,0.235966,0.173343,0.165754,0.209746,0.407855,0,0.41225,0.105344,0.000072,0.079651,0.00036,0.283313,0.004404,0.028185,0.27045,0.139045,0.437325,0.013185,0.723887,0.581556,0.199912,0.434928,0,0.004414,0.013472,0.34407,0.761629,0.377019,0.030979,0.45122,0.731073,0.684646,0.308881,0.038584,0,0.564239,0.013603,0.376948,0.515556,0.072894,0.620096,0.633302,0.53559,0.320748,0.023624,0.008991,0.505528,0.04914,0.155813,0.018135,0.575233,0.319095,0.00889,0.388402,0.031742,0.575688,0.042255,0,0.000541,0.506088,0.1017,0.006465,0.00985,0.557462,0.760416,0.27298,0,0.02105,0.302207,0,0,0,0,1,0
0.000354,0.334337,0.000066,0.000373,0,0.015036,0.297862,0,0,0.12604,0,0.430556,0.337158,0.037382,0.010712,0.434738,0.425769,0,0,0.349347,0,0.001063,0.417796,0.37027,0,0.232152,0.409096,0.177357,0.001282,0.222689,0.175208,0.38928,0.025598,0.36885,0.243782,0.433508,0,0.055008,0.4305,0.22277,0.223233,0.286668,0,0.050863,0.156646,0.180656,0.122831,0.00111,0.060879,0.103751,0,0.302812,0.051742,0.268675,0.411131,0,0.364678,0.001319,0.937675,0.750365,0.145912,0.270809,0,0,0.411836,0.934462,0.148506,0.222312,0.27406,0.934074,0.044582,0.25201,0.036681,0.221115,0.338634,0.232365,0.112576,0.247506,0,0.227981,0.001004,0.92388,0.19166,0.27332,0,0.031409,0.021358,0.053494,0.033618,0.036254,0.02391,0.105726,0.03376,0.09711,0,0.987645,0.575248,0.013757,0.901014,0.321625,0.226591,0.01457,0.024359,0.000585,0.835588,0.924592,0.002275,0.005384,0.631125,0.830513,0.001014,0.023647,0.208285,0.132243,0.603071,0.217003,0.165123,0.27011,0.161975,0.670658,0,0.277977,0.059273,0.028867,0.243107,0.022824,0.006525,0.028677,0.155871,0.250089,0.257133,0.217051,0.011098,0.848205,0.034027,0.324945,0.014277,0.907846,0.06502,0.355446,0.291221,0.157078,0.041875,0.151738,0.210082,0.017829,0.050593,0,0,0,0,1,0
0.010792,0.012016,0.008669,0.08098,0.220247,0.198733,0.454889,0.236827,0.22607,0.452563,0.241747,0.471193,0.449275,0.006981,0.008773,0.450248,0.427357,0.249049,0.356403,0.467559,0.364664,0.227778,0.430846,0.48251,0.240384,0.451456,0.420469,0.479838,0.001318,0.323093,0.009681,0.432367,0.116431,0.46643,0.462449,0.435509,0.3438,0.233248,0.434313,0.369811,0.001001,0.482734,0.236907,0.005725,0.317908,0.442029,0.447307,0.001176,0.476662,0.024257,0.339726,0.340219,0.277979,0.490506,0.446189,0.263073,0.456019,0.002811,0.574653,0.390184,0.295631,0.321907,0.255048,0.248557,0.457461,0.659419,0.414128,0.465915,0.32155,0.72183,0.225267,0.322627,0.000864,0.470623,0.476315,0.496433,0.319299,0.466709,0.261328,0.472815,0.002232,0.734432,0.393038,0.310926,0.285082,0.012058,0.00008,0.00818,0.002613,0.217559,0.116553,0.011771,0.004182,0.485798,0.212305,0.049278,0.776531,0.002692,0.615364,0.386295,0.329911,0.020482,0.000125,0.228566,0.879829,0.751369,0.001549,0.000305,0.735117,0.644885,0.010147,0.124368,0.328587,0.33928,0.075811,0.35107,0.338004,0.333066,0.33583,0.729054,0.214897,0.324479,0.039848,0.000743,0.328573,0.066587,0.017975,0.001802,0.340796,0.337407,0.016295,0.340364,0.004867,0.640248,0.001649,0.317908,0.016672,0.707771,0.040406,0.120637,0.698691,0.336193,0.131977,0.467145,0.344959,0.000471,0.078174,0,0,0,0,1,0
