@relation 'scene-weka.filters.unsupervised.attribute.Remove-V-R196,195,189,234,241,96,201,200,233,237,198,240,202,190,242,209,199,238,232,231,245,244,225,186,236,208,222,226,243,235,223,192,207,248,103,230,227,214,228,95,104,205,116,239,289,106,251,38,102,108-109,290,43,97,107,94,45,281,46,101,110,206,147,146,100,40,111,99,105,194,47,124,117,203-204,141,246,229,193,215,219,259,210,48,287,55,41,153,247,220,39,221,212,52,216,49-50,115,118,112,213,54,191,44,119,149,173,145,211,217,88,154,288,197,37,188,123,140,133,113,127,156,36,144,218,93,90,51,161,114,122,64,294,89,135,253,257,142,224,42,184,150,254,11,120,138,121,295-300'

@attribute Att196 numeric
@attribute Att195 numeric
@attribute Att189 numeric
@attribute Att234 numeric
@attribute Att241 numeric
@attribute Att96 numeric
@attribute Att201 numeric
@attribute Att200 numeric
@attribute Att233 numeric
@attribute Att237 numeric
@attribute Att198 numeric
@attribute Att240 numeric
@attribute Att202 numeric
@attribute Att190 numeric
@attribute Att242 numeric
@attribute Att209 numeric
@attribute Att199 numeric
@attribute Att238 numeric
@attribute Att232 numeric
@attribute Att231 numeric
@attribute Att245 numeric
@attribute Att244 numeric
@attribute Att225 numeric
@attribute Att186 numeric
@attribute Att236 numeric
@attribute Att208 numeric
@attribute Att222 numeric
@attribute Att226 numeric
@attribute Att243 numeric
@attribute Att235 numeric
@attribute Att223 numeric
@attribute Att192 numeric
@attribute Att207 numeric
@attribute Att248 numeric
@attribute Att103 numeric
@attribute Att230 numeric
@attribute Att227 numeric
@attribute Att214 numeric
@attribute Att228 numeric
@attribute Att95 numeric
@attribute Att104 numeric
@attribute Att205 numeric
@attribute Att116 numeric
@attribute Att239 numeric
@attribute Att289 numeric
@attribute Att106 numeric
@attribute Att251 numeric
@attribute Att38 numeric
@attribute Att102 numeric
@attribute Att108 numeric
@attribute Att109 numeric
@attribute Att290 numeric
@attribute Att43 numeric
@attribute Att97 numeric
@attribute Att107 numeric
@attribute Att94 numeric
@attribute Att45 numeric
@attribute Att281 numeric
@attribute Att46 numeric
@attribute Att101 numeric
@attribute Att110 numeric
@attribute Att206 numeric
@attribute Att147 numeric
@attribute Att146 numeric
@attribute Att100 numeric
@attribute Att40 numeric
@attribute Att111 numeric
@attribute Att99 numeric
@attribute Att105 numeric
@attribute Att194 numeric
@attribute Att47 numeric
@attribute Att124 numeric
@attribute Att117 numeric
@attribute Att203 numeric
@attribute Att204 numeric
@attribute Att141 numeric
@attribute Att246 numeric
@attribute Att229 numeric
@attribute Att193 numeric
@attribute Att215 numeric
@attribute Att219 numeric
@attribute Att259 numeric
@attribute Att210 numeric
@attribute Att48 numeric
@attribute Att287 numeric
@attribute Att55 numeric
@attribute Att41 numeric
@attribute Att153 numeric
@attribute Att247 numeric
@attribute Att220 numeric
@attribute Att39 numeric
@attribute Att221 numeric
@attribute Att212 numeric
@attribute Att52 numeric
@attribute Att216 numeric
@attribute Att49 numeric
@attribute Att50 numeric
@attribute Att115 numeric
@attribute Att118 numeric
@attribute Att112 numeric
@attribute Att213 numeric
@attribute Att54 numeric
@attribute Att191 numeric
@attribute Att44 numeric
@attribute Att119 numeric
@attribute Att149 numeric
@attribute Att173 numeric
@attribute Att145 numeric
@attribute Att211 numeric
@attribute Att217 numeric
@attribute Att88 numeric
@attribute Att154 numeric
@attribute Att288 numeric
@attribute Att197 numeric
@attribute Att37 numeric
@attribute Att188 numeric
@attribute Att123 numeric
@attribute Att140 numeric
@attribute Att133 numeric
@attribute Att113 numeric
@attribute Att127 numeric
@attribute Att156 numeric
@attribute Att36 numeric
@attribute Att144 numeric
@attribute Att218 numeric
@attribute Att93 numeric
@attribute Att90 numeric
@attribute Att51 numeric
@attribute Att161 numeric
@attribute Att114 numeric
@attribute Att122 numeric
@attribute Att64 numeric
@attribute Att294 numeric
@attribute Att89 numeric
@attribute Att135 numeric
@attribute Att253 numeric
@attribute Att257 numeric
@attribute Att142 numeric
@attribute Att224 numeric
@attribute Att42 numeric
@attribute Att184 numeric
@attribute Att150 numeric
@attribute Att254 numeric
@attribute Att11 numeric
@attribute Att120 numeric
@attribute Att138 numeric
@attribute Att121 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}

@data
0.008867,0.020422,0.029304,0.395396,0.432871,0.763635,0.080392,0.086957,0.268107,0.381882,0.203922,0.367174,0.065316,0.006781,0.43546,0.099798,0.086957,0.358644,0.421456,0.179194,0.32466,0.399762,0.381092,0.01395,0.415552,0.103773,0.109916,0.200686,0.425948,0.430771,0.130435,0.011352,0.103773,0,0.112058,0.179365,0.147355,0.104213,0.218338,0.683093,0.117193,0.233517,0.099586,0.418814,0.139692,0.222189,0.000029,0.363497,0.113924,0.119728,0.118173,0.021157,0.660767,0.489633,0.163539,0.677841,0.339561,0.034944,0.351927,0.109176,0.113759,0.103271,0.159604,0.187635,0.160842,0.375448,0.118888,0.219129,0.114094,0.012662,0.36697,0.09463,0.113654,0.070754,0.396451,0.195787,0.042041,0.286952,0.012322,0.113461,0.196029,0.002318,0.09983,0.406997,0.134976,0.000377,0.502978,0.000164,0.250554,0.083039,0.343539,0.087849,0.23043,0.000237,0.115466,0.401448,0.093262,0.082873,0.126676,0.119783,0.1007,0.000362,0.029942,0.45392,0.12456,0.020232,0.00851,0.237683,0.398506,0.121578,0.731217,0.000244,0.037362,0.366801,0.563668,0.026256,0.056028,0.184204,0.145929,0.219787,0.206137,0.019391,0.586883,0.236981,0.353484,0.580052,0.635038,0.077002,0.000016,0.13922,0.049682,0.119487,0.039876,0.762016,0.118376,0.035553,0.001123,0.193428,0.13883,0.525428,0.052013,0.000151,0.264163,0.746892,0.202752,0.227415,0.108725,0,0,0,0,0,1
0.030027,0.025283,0.009475,0.510329,0.303468,0.471725,0.293997,0.291349,0.509185,0.488442,0.299282,0.315736,0.285207,0.012019,0.281061,0.329277,0.29296,0.493911,0.498717,0.456611,0.269664,0.279795,0.441302,0.019141,0.495823,0.465177,0.500377,0.491152,0.283704,0.510643,0.471719,0.034366,0.363351,0.003234,0.178912,0.517773,0.532683,0.391403,0.547014,0.50117,0.178254,0.372814,0.208515,0.280998,0.101051,0.187902,0.009018,0.437268,0.174431,0.199549,0.193811,0.080937,0.612491,0.424471,0.189664,0.527377,0.500268,0.152445,0.480995,0.173675,0.270863,0.364962,0.162967,0.155121,0.172783,0.407231,0.219388,0.168297,0.17453,0.03004,0.482319,0.296793,0.280729,0.286817,0.380208,0.11156,0.004391,0.521133,0.026526,0.490968,0.352614,0.007858,0.348311,0.479337,0.070174,0.105943,0.432113,0.001331,0.005001,0.325073,0.386946,0.392861,0.396204,0.00008,0.366272,0.441616,0.000043,0.207769,0.220246,0.191736,0.390972,0.10512,0.028495,0.51804,0.213713,0.00004,0.007295,0.154138,0.405523,0.38929,0.309431,0.000088,0.044588,0.305164,0.422408,0.01229,0.243641,0.240138,0.217194,0.199111,0.197669,0.000534,0.437046,0.151887,0.377184,0.488469,0.462616,0.000044,0.000914,0.205042,0.20573,0,0.043268,0.355914,0.213518,0.003941,0.095077,0.144245,0.361798,0.435266,0.020659,0.000025,0.005054,0.940573,0.198574,0.237193,0.226628,0,0,0,0,0,1
0.033326,0.033825,0.119676,0.709117,1,0.192877,0.166169,0.295011,0.827447,0.881334,0.323929,1,0.350873,0.025022,0.902315,0.377328,0.338247,0.78107,0.751079,0.827366,1,1,0.625934,0.137661,0.945879,0.228218,0.544883,0.55916,0.945448,0.830991,0.527204,0.032155,0.395666,0.23064,0.158151,0.682317,0.561184,0.461942,0.728954,0.197363,0.291071,0.406587,0.28336,0.936326,0.098081,0.203099,0.134032,0.328012,0.188689,0.272305,0.237581,0.262917,0.561421,0.100151,0.244599,0.21211,0.599091,0.246071,0.490031,0.219781,0.144432,0.436622,0.389311,0.349328,0.209115,0.571851,0.268103,0.144165,0.296949,0.031534,0.539981,0.314436,0.251236,0.364324,0.356454,0.42935,0.008353,0.680675,0.042426,0.396159,0.621376,0.019316,0.411491,0.609803,0.258232,0.224973,0.490526,0.028496,0.216561,0.614295,0.435224,0.558182,0.481357,0.177887,0.456374,0.62986,0.35487,0.29218,0.287942,0.286817,0.494714,0.527329,0.033428,0.632206,0.271857,0.03597,0.044028,0.356692,0.547727,0.487172,0.265738,0.025265,0.264721,0.226809,0.481527,0.159579,0.316888,0.20975,0.185511,0.254418,0.261055,0.019333,0.396384,0.399821,0.711105,0.116733,0.345241,0.266182,0.011073,0.249882,0.26037,0.277155,0.301926,0.194855,0.332249,0.28589,0.04122,0.423717,0.567461,0.37966,0.101576,0.040891,0.14465,0.706661,0.236533,0.339875,0.238858,0,0,0,0,0,1
0.004202,0.005038,0.045154,0.510671,0.475983,0.437474,0.51263,0.482004,0.498295,0.545747,0.481963,0.503221,0.503711,0.005948,0.454465,0.517344,0.479749,0.523297,0.483797,0.564224,0.515329,0.47558,0.514895,0.213213,0.572186,0.528814,0.557426,0.508443,0.449442,0.498785,0.560647,0.001329,0.541426,0.000409,0.357384,0.552462,0.551529,0.561174,0.532415,0.04381,0.341905,0.484366,0.364796,0.518324,0.040355,0.344048,0.072524,0.559976,0.346488,0.347854,0.36352,0.012623,0.865758,0.184839,0.34684,0.012993,0.824213,0.163771,0.835279,0.346667,0.351074,0.480997,0.403166,0.397727,0.346633,0.280223,0.340873,0.343549,0.33409,0.012308,0.776689,0.345323,0.348934,0.487897,0.649415,0.407168,0.549508,0.531282,0.001746,0.539629,0.523588,0.12962,0.524503,0.837542,0.083373,0.067444,0.500594,0.006309,0.000957,0.544245,0.363791,0.576304,0.517751,0,0.542286,0.841037,0.644128,0.357642,0.346023,0.34379,0.519239,0.356488,0.004629,0.846465,0.350164,0.000011,0.005135,0.381148,0.546903,0.552804,0.510735,0.007136,0.067222,0.600617,0.612102,0.526215,0.35994,0.41301,0.359929,0.351978,0.313322,0.000236,0.554561,0.379192,0.482984,0.057441,0.898729,0.006548,0.007565,0.349263,0.350215,0.719359,0.043738,0.44019,0.365009,0.587249,0.090192,0.402608,0.560878,0.637435,0.021375,0,0.003317,0.790148,0.31699,0.635258,0.346967,0,0,0,0,0,1
0.019794,0.02603,0.044069,0.561426,0.628712,0.140082,0.227671,0.212783,0.565904,0.533894,0.236223,0.630605,0.229335,0.022283,0.610975,0.411487,0.222816,0.569031,0.529816,0.583847,0.505443,0.561282,0.559694,0.010354,0.437143,0.393122,0.491897,0.589599,0.519787,0.534711,0.60315,0.037987,0.289505,0.019025,0.142365,0.527622,0.579912,0.39589,0.503477,0.351824,0.148161,0.307709,0.195564,0.589707,0.151438,0.150225,0.090259,0.842095,0.131481,0.158162,0.143571,0.117175,0.669544,0.185032,0.153156,0.390964,0.72985,0.084461,0.591966,0.136173,0.216776,0.303989,0.205669,0.222877,0.132552,0.484168,0.242909,0.129029,0.133908,0.010379,0.477174,0.271103,0.246412,0.208027,0.307785,0.230861,0.019047,0.447862,0.035799,0.45085,0.562925,0.034665,0.273626,0.561568,0.040654,0.001607,0.615763,0.014126,0.0198,0.580693,0.824297,0.468771,0.510867,0.049679,0.554346,0.538994,0.058276,0.235536,0.31339,0.159031,0.447023,0.002965,0.039751,0.722504,0.287436,0.001837,0.01507,0.224099,0.40455,0.520339,0.115614,0.000071,0.273596,0.246206,0.805268,0.016216,0.24617,0.26564,0.329456,0.17483,0.276912,0.004769,0.700811,0.198423,0.55466,0.376391,0.273923,0.063473,0.004352,0.272889,0.33204,0.224104,0.332623,0.3717,0.248033,0.013549,0.212838,0.234733,0.552883,0.722663,0.017075,0.001765,0.011843,0.861484,0.237408,0.218284,0.249792,0,0,0,0,0,1
0.091532,0.021579,0.071949,0.526161,0.501609,0.318761,0.346338,0.378386,0.488342,0.522106,0.269928,0.532806,0.220879,0.085361,0.512262,0.321707,0.331165,0.525427,0.485575,0.480637,0.533588,0.496182,0.41914,0.085947,0.519665,0.470946,0.50917,0.427161,0.508426,0.525366,0.507966,0.414601,0.486571,0.006868,0.260789,0.541925,0.449058,0.508393,0.532927,0.323102,0.139191,0.289788,0.479826,0.472867,0.164443,0.228024,0.051106,0.549299,0.323765,0.244138,0.467086,0.125765,0.417193,0.353376,0.195887,0.213046,0.563439,0.086049,0.493227,0.255971,0.445154,0.353392,0.304271,0.262209,0.198394,0.564688,0.236732,0.201372,0.187845,0.086969,0.489253,0.471221,0.452175,0.252583,0.312709,0.29359,0.02664,0.526571,0.196718,0.479953,0.416331,0.022828,0.330133,0.404176,0.22786,0.025455,0.634568,0.024561,0.037538,0.407477,0.539742,0.524418,0.360698,0.002776,0.426203,0.383215,0.013664,0.257939,0.359578,0.246466,0.403455,0.136809,0.088792,0.489095,0.262956,0.016866,0.069248,0.293593,0.330872,0.36698,0.470948,0.028683,0.146118,0.269816,0.503157,0.217216,0.490136,0.33529,0.425771,0.223127,0.284635,0.01037,0.486394,0.35022,0.400837,0.399246,0.210932,0.016787,0.006907,0.25308,0.266367,0.007819,0.34728,0.51518,0.322324,0.011499,0.053456,0.353934,0.404404,0.520583,0.055167,0.00256,0.01584,0.71763,0.271758,0.3726,0.290379,0,0,0,0,0,1
0.018914,0.008633,0.018795,0.450986,0.699421,0.019099,0.463679,0.467045,0.323716,0.786601,0.48137,0.569321,0.452697,0.002658,0.730654,0.60316,0.472703,0.947385,0.052369,0.909208,0.894268,0.744465,0.342112,0.002447,0.724626,0.612073,0.796643,0.367709,0.738057,0.604726,0.715915,0.00202,0.616859,0.001609,0.335597,0.783481,0.367966,0.471864,0.371455,0.005437,0.330844,0.432859,0.376831,0.165593,0.088292,0.338848,0.003224,0.488341,0.339259,0.366289,0.402743,0.026052,0.091139,0.048448,0.347606,0.091257,0.647856,0.0478,0.767412,0.343923,0.391598,0.505077,0.49085,0.47668,0.34452,0.742169,0.388786,0.346667,0.329959,0.000748,0.761785,0.457037,0.447668,0.451859,0.437478,0.339801,0.000689,0.694075,0.000582,0.740774,0.316503,0.461745,0.692722,0.734249,0.117329,0.000226,0.76125,0.000389,0.00159,0.289732,0.618937,0.423466,0.382045,0,0.795894,0.662466,0,0.392346,0.497901,0.385597,0.489578,0.000234,0.006443,0.426376,0.487394,0.000133,0.034633,0.456063,0.335156,0.858819,0.106879,0.000482,0.152808,0.480922,0.475609,0.00973,0.365981,0.48845,0.521406,0.315219,0.346145,0.002075,0.376674,0.450288,0.315318,0.113114,0.067082,0,0.009804,0.347449,0.32727,0.130047,0.094455,0.066161,0.378457,0.074091,0.217299,0.410658,0.864432,0.739218,0.002237,0.000161,0.07779,0.762803,0.318635,0.451914,0.324952,1,0,0,0,1,0
0.000407,0.000465,0.000517,0.545223,0.555511,0.156296,0.617429,0.621958,0.543031,0.537361,0.55834,0.54359,0.570294,0.000128,0.536086,0.497305,0.624631,0.531233,0.533738,0.526391,0.547974,0.559447,0.549394,0.000464,0.549394,0.528449,0.52931,0.536042,0.550881,0.55257,0.52014,0.000296,0.611503,0.069967,0.266461,0.530797,0.54539,0.626163,0.549081,0.104964,0.237826,0.640846,0.358045,0.531401,0.004808,0.350658,0.034933,0.791747,0.292606,0.352503,0.347058,0.012684,0.760786,0.180057,0.359705,0.124943,0.750009,0.002482,0.787078,0.296838,0.334684,0.647276,0.327812,0.330617,0.327037,0.745063,0.315329,0.340665,0.288594,0.000474,0.719721,0.343018,0.337167,0.472781,0.636652,0.334712,0.027268,0.533872,0.000269,0.526414,0.640063,0.003263,0.477668,0.666047,0.009346,0.59714,0.726948,0.015001,0.027502,0.585145,0.754198,0.535997,0.657475,0.611616,0.512659,0.609834,0.058082,0.365871,0.332675,0.309328,0.664341,0.230765,0.000526,0.776827,0.313251,0.007187,0.000207,0.334451,0.640868,0.49149,0.108714,0.00658,0.003232,0.523092,0.802384,0.000401,0.347846,0.330274,0.328772,0.359986,0.34856,0.000918,0.807381,0.339575,0.661086,0.118784,0.134025,0.086064,0.001159,0.36797,0.353512,0.02027,0.024701,0.128337,0.347353,0.017625,0.017539,0.338546,0.505122,0.669691,0.000416,0.007801,0.024537,0.705715,0.361557,0.337565,0.365933,1,0,0,0,0,0
0.006055,0.010661,0.003585,0.659152,0.791231,0.111957,0.234814,0.243671,0.584932,0.759561,0.243458,0.77591,0.221104,0.016274,0.782888,0.428498,0.252695,0.76636,0.482566,0.698079,0.712169,0.717861,0.366322,0.016185,0.733584,0.382179,0.499978,0.431126,0.752594,0.673824,0.676932,0.009371,0.386239,0.013995,0.214204,0.659946,0.478138,0.484803,0.560375,0.085508,0.206948,0.374094,0.328937,0.735429,0.032963,0.266667,0.019229,0.745363,0.217942,0.272449,0.270302,0.02122,0.554224,0.179289,0.270761,0.047057,0.658122,0.100502,0.609846,0.220974,0.258272,0.388688,0.413642,0.415857,0.221056,0.665845,0.263292,0.215007,0.198176,0.006651,0.531133,0.329246,0.344005,0.193315,0.348464,0.452085,0.014472,0.61469,0.004721,0.576859,0.26778,0.432959,0.50473,0.435495,0.027201,0.011651,0.574559,0.001382,0.012346,0.298969,0.744838,0.351516,0.397075,0.008857,0.656479,0.423774,0.010919,0.292147,0.407586,0.33299,0.409924,0.010157,0.004996,0.63983,0.409314,0.000815,0.016907,0.435919,0.375514,0.703256,0.014944,0.001799,0.064678,0.222446,0.630362,0.005455,0.214767,0.413882,0.393957,0.294294,0.233683,0.002784,0.498783,0.457682,0.207852,0.036266,0.076197,0.008786,0.069444,0.295158,0.180014,0.216035,0.057418,0.04798,0.373011,0.022605,0.046783,0.490213,0.738068,0.521288,0.005185,0.000859,0.020605,0.918169,0.168169,0.442503,0.174438,1,0,0,0,0,0
0.004502,0.006204,0.004025,0.821804,0.688462,0.069573,0.046833,0.031748,0.844091,0.86148,0.101762,0.827093,0.236838,0.007491,0.665381,0.644066,0.063887,0.881419,0.821055,0.899501,0.804191,0.842649,0.765857,0.031026,0.744957,0.450528,0.833769,0.818975,0.841351,0.622484,0.823593,0.023688,0.283447,0.012708,0.25906,0.927592,0.833434,0.687958,0.746164,0.7992,0.283937,0.222278,0.366207,0.832662,0.041607,0.265775,0.686021,0.79392,0.25404,0.27762,0.29439,0.236,0.800545,0.043608,0.271968,0.64512,0.455376,0.05543,0.311986,0.262373,0.316907,0.186896,0.40537,0.458375,0.275658,0.605747,0.303251,0.273765,0.291228,0.009887,0.58907,0.48832,0.331488,0.540179,0.259684,0.449602,0.007062,0.962337,0.036019,0.754607,0.613303,0.059422,0.675255,0.544425,0.081124,0.254029,0.507755,0.005484,0.006701,0.709698,0.309425,0.805902,0.416477,0.006144,0.784789,0.458317,0.004429,0.378347,0.301811,0.301811,0.522287,0.035855,0.004048,0.786226,0.294376,0.000422,0.047243,0.494938,0.430153,0.809402,0.658187,0.004575,0.046501,0.131687,0.853347,0.00291,0.521159,0.419204,0.433368,0.297538,0.441955,0.000236,0.804529,0.44249,0.369051,0.082907,0.04926,0.004212,0.002586,0.298724,0.512737,0.00565,0.053979,0.027045,0.466578,0.035409,0.38674,0.462531,0.827742,0.478209,0.001772,0.000762,0.034085,0.666855,0.309925,0.45227,0.44703,1,0,0,0,1,0
