@relation 'scene-weka.filters.unsupervised.attribute.Remove-V-R291,83,292,290,84,234-235,241,233,289,293,237,201,232,103,199,102,96,231,200,236,94,188,245,206,228,198,86,230,242,239,196,202,240,107,105,243,238,104,244,186,117,222,197,190,209,90,220,226,111,207-208,212,214,281,225,227,189,194,210,180,217,115,205,287,195,47,248,213,147,229,108,146,7,46,106,211,142,193,45,110,95,109,141,224,116,223,286,251,218,40,101,219,153,203,187,100,204,124,38,215,49,191,39,294,159,192,112,122,119,250,44,5,216,158,1,145,32,82,179,253,184,6,154,43,149,41,123,221,37,48,133,99,246,87,121,183,144,259,143,36,88,42,118,55,247,93,295-300'

@attribute Att291 numeric
@attribute Att83 numeric
@attribute Att292 numeric
@attribute Att290 numeric
@attribute Att84 numeric
@attribute Att234 numeric
@attribute Att235 numeric
@attribute Att241 numeric
@attribute Att233 numeric
@attribute Att289 numeric
@attribute Att293 numeric
@attribute Att237 numeric
@attribute Att201 numeric
@attribute Att232 numeric
@attribute Att103 numeric
@attribute Att199 numeric
@attribute Att102 numeric
@attribute Att96 numeric
@attribute Att231 numeric
@attribute Att200 numeric
@attribute Att236 numeric
@attribute Att94 numeric
@attribute Att188 numeric
@attribute Att245 numeric
@attribute Att206 numeric
@attribute Att228 numeric
@attribute Att198 numeric
@attribute Att86 numeric
@attribute Att230 numeric
@attribute Att242 numeric
@attribute Att239 numeric
@attribute Att196 numeric
@attribute Att202 numeric
@attribute Att240 numeric
@attribute Att107 numeric
@attribute Att105 numeric
@attribute Att243 numeric
@attribute Att238 numeric
@attribute Att104 numeric
@attribute Att244 numeric
@attribute Att186 numeric
@attribute Att117 numeric
@attribute Att222 numeric
@attribute Att197 numeric
@attribute Att190 numeric
@attribute Att209 numeric
@attribute Att90 numeric
@attribute Att220 numeric
@attribute Att226 numeric
@attribute Att111 numeric
@attribute Att207 numeric
@attribute Att208 numeric
@attribute Att212 numeric
@attribute Att214 numeric
@attribute Att281 numeric
@attribute Att225 numeric
@attribute Att227 numeric
@attribute Att189 numeric
@attribute Att194 numeric
@attribute Att210 numeric
@attribute Att180 numeric
@attribute Att217 numeric
@attribute Att115 numeric
@attribute Att205 numeric
@attribute Att287 numeric
@attribute Att195 numeric
@attribute Att47 numeric
@attribute Att248 numeric
@attribute Att213 numeric
@attribute Att147 numeric
@attribute Att229 numeric
@attribute Att108 numeric
@attribute Att146 numeric
@attribute Att7 numeric
@attribute Att46 numeric
@attribute Att106 numeric
@attribute Att211 numeric
@attribute Att142 numeric
@attribute Att193 numeric
@attribute Att45 numeric
@attribute Att110 numeric
@attribute Att95 numeric
@attribute Att109 numeric
@attribute Att141 numeric
@attribute Att224 numeric
@attribute Att116 numeric
@attribute Att223 numeric
@attribute Att286 numeric
@attribute Att251 numeric
@attribute Att218 numeric
@attribute Att40 numeric
@attribute Att101 numeric
@attribute Att219 numeric
@attribute Att153 numeric
@attribute Att203 numeric
@attribute Att187 numeric
@attribute Att100 numeric
@attribute Att204 numeric
@attribute Att124 numeric
@attribute Att38 numeric
@attribute Att215 numeric
@attribute Att49 numeric
@attribute Att191 numeric
@attribute Att39 numeric
@attribute Att294 numeric
@attribute Att159 numeric
@attribute Att192 numeric
@attribute Att112 numeric
@attribute Att122 numeric
@attribute Att119 numeric
@attribute Att250 numeric
@attribute Att44 numeric
@attribute Att5 numeric
@attribute Att216 numeric
@attribute Att158 numeric
@attribute Att1 numeric
@attribute Att145 numeric
@attribute Att32 numeric
@attribute Att82 numeric
@attribute Att179 numeric
@attribute Att253 numeric
@attribute Att184 numeric
@attribute Att6 numeric
@attribute Att154 numeric
@attribute Att43 numeric
@attribute Att149 numeric
@attribute Att41 numeric
@attribute Att123 numeric
@attribute Att221 numeric
@attribute Att37 numeric
@attribute Att48 numeric
@attribute Att133 numeric
@attribute Att99 numeric
@attribute Att246 numeric
@attribute Att87 numeric
@attribute Att121 numeric
@attribute Att183 numeric
@attribute Att144 numeric
@attribute Att259 numeric
@attribute Att143 numeric
@attribute Att36 numeric
@attribute Att88 numeric
@attribute Att42 numeric
@attribute Att118 numeric
@attribute Att55 numeric
@attribute Att247 numeric
@attribute Att93 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}

@data
0.028214,0.026393,0.264067,0.013459,0.05921,0.101114,0.156949,0.079062,0.071334,0.011025,0.098065,0.294272,0.318304,0.115025,0.479774,0.466676,0.481317,0.067386,0.321368,0.379272,0.322385,0.017792,0.109062,0.261954,0.608069,0.110093,0.56921,0.011857,0.17426,0.065888,0.15601,0.001697,0.271985,0.09559,0.39404,0.48452,0.330526,0.348117,0.478052,0.285102,0.018303,0.501701,0.074387,0.680086,0.007214,0.552827,0.058824,0.102925,0.131441,0.464479,0.591877,0.550725,0.509002,0.228552,0.013774,0.157832,0.119923,0.205905,0.029998,0.531949,0.002519,0.176027,0.499287,0.627818,0.057962,0.008809,0.019127,0.237792,0.406837,0.366255,0.125939,0.390947,0.386193,0.760929,0.355618,0.415384,0.542975,0.517716,0.001769,0.367036,0.443326,0.060441,0.410898,0.556674,0.13682,0.501763,0.081175,0.085567,0.056907,0.288692,0.109731,0.475933,0.166532,0.000686,0.291398,0.056756,0.461399,0.665235,0.507469,0.402606,0.177995,0,0.001803,0.278184,0.007295,0.004251,0.000771,0.500096,0.510617,0.507888,0.068306,0.351629,0.835572,0.19601,0.007158,0.896961,0.402332,0.48875,0.038756,0.00081,0.125047,0.001701,0.805204,0.001363,0.288059,0.012106,0.057604,0.510967,0.082584,0.485516,0,0.755967,0.468326,0.237349,0.083327,0.516139,0.001036,0.500151,0.250779,0.498615,0.452831,0.03332,0.006621,0.49917,0.005618,0.314938,0.020818,0,1,0,0,0,0
0.019489,0.030484,0.065499,0,0.052279,0.467738,0.449712,0.521739,0.473184,0,0.060607,0.420133,0.391852,0.512212,0.224026,0.414598,0.223272,0.339517,0.462974,0.399792,0.391964,0,0.021573,0.356291,0.479491,0.410315,0.414452,0.036567,0.4652,0.508007,0.521739,0.016444,0.38587,0.521739,0.253717,0.218964,0.470377,0.422403,0.226221,0.430153,0.019754,0.337215,0.67039,0.41093,0,0.441213,0.441753,0.601181,0.37396,0.289993,0.45726,0.444042,0.606034,0.610619,0.007276,0.382906,0.376006,0.018398,0.026828,0.454218,0.021044,0.645867,0.3369,0.503757,0.047901,0.033596,0.010692,0.00491,0.602758,0.230645,0.444556,0.268903,0.277044,0.883166,0,0.25275,0.592839,0.32,0.004194,0,0.287682,0.001663,0.281372,0.32,0.755871,0.336235,0.731962,0.035782,0.001393,0.548309,0.195434,0.219348,0.574879,0.001655,0.396538,0.022759,0.222215,0.504753,0.444534,0,0.622696,0.300986,0,0.019706,0.050914,0.00124,0,0.286159,0.378587,0.341043,0.000626,0,0.888682,0.630211,0.002222,0.667813,0.310981,0.41215,0.103342,0.012006,0.013929,0.006282,0.894019,0.001577,0,0.000243,0.192754,0.409918,0.634863,0,0.160216,0.282099,0.212421,0.011161,0.13927,0.350892,0.000262,0.320041,0.016409,0.32,0,0.265189,0.176312,0.343717,0.004897,0.006192,0,0,1,0,0,0,0
0.663624,0.684829,0.430107,0.798631,0.472203,0.392145,0.368121,0.725123,0.397888,0.565754,0.428813,0.267228,0,0.41965,0.57321,0.177749,0.501605,0.646062,0.316757,0.048724,0.297942,1,0.059284,0.71024,0.428211,0.251172,0.166702,1,0.092403,0.799493,0.492789,0.187021,0.073068,0.6259,0.331438,0.329208,0.91939,0.304336,0.501452,0.884022,0.200647,0.415715,0.149261,0.411125,0.537127,0.225372,0.703923,0.348477,0.314921,0.406536,0.442159,0.145662,0.435481,0.239651,0.214968,0.339218,0.247691,0.160082,0.059687,0.421427,0.054872,0.355747,0.332229,0.409089,0.254417,0.094947,0.838126,0.443295,0.40807,0.602004,0.076336,0.32037,0.507451,0,0.581894,0.344916,0.333854,0.637843,0.165438,0.485253,0.436449,1,0.324895,0.549753,0.309771,0.405047,0.106576,0.223975,0.645717,0.355901,0.638522,0.444401,0.281022,0.069859,0.433445,0.083478,0.400654,0.351958,0.484938,0.412866,0.26184,0.56879,0.427286,0.399685,0.73217,0.038369,0.285743,0.332534,0.362295,0.351699,0.052929,0.373624,0.113341,0.160829,0.003746,0,0.416601,0.271845,0.725089,0.164154,0.121832,0.209388,0.049807,0.007942,0.138157,0.038993,0.625999,0.424408,0.259188,0.483986,0.811382,0.439187,0.335142,0.058962,1,0.407269,0.129081,0.496195,0.025952,0.608911,0.429284,1,0.370093,0.453174,0.047502,0.286531,1,0,1,0,0,0,0
0.148737,0.19973,0.036223,0.283224,0,0.151391,0.322486,0.263542,0.182714,0.208947,0.00414,0.450539,0.458277,0.094852,0.445316,0.53442,0.419005,0.041639,0.457237,0.509461,0.428487,0.65414,0.000566,0.456522,0.86365,0.237677,0.482231,0.472091,0.43712,0.408514,0.173287,0,0.477668,0.112666,0.495652,0.421674,0.422012,0.456522,0.432298,0.454084,0.019342,0.445021,0.166767,0.480162,0.01107,0.631587,0.001269,0.299181,0.248736,0.474856,0.855654,0.693595,0.369185,0.505021,0.202383,0.268261,0.300221,0,0.013031,0.583434,0.007556,0.456388,0.425816,0.683564,0,0.001808,0,0.224143,0.479726,0.32,0.227512,0.412325,0.318038,0.73314,0.07062,0.471749,0.33179,0.285638,0.028412,0.318723,0.493964,0.76119,0.43096,0.312778,0.455661,0.453388,0.329755,0.008507,0.075735,0.241244,0,0.410604,0.209798,0.001737,0.514414,0.009,0.444328,0.600611,0.333642,0.238846,0.439602,0,0.008683,0.341656,0,0.001245,0.018082,0.462346,0.383944,0.322305,0.101418,0.182409,0.841715,0.429594,0.014676,0.777491,0.293896,0.462017,0.614982,0.008597,0.01501,0.010976,0.787202,0.001326,0.040436,0.001094,0,0.376804,0.209809,0.155116,0,0.315213,0.426413,0.048608,0.45708,0.340309,0.002934,0.331948,0.051994,0.337915,0.134746,0.884027,0,0.350727,0.004981,0.089968,0.273856,0,1,0,0,0,0
1,0.812869,1,1,0.532901,1,1,1,1,1,1,1,0.321938,0.95301,0.45013,0.249374,0.37192,1,0.809436,0.278493,1,1,0.143642,1,0.197564,0.55702,0.248714,0.18555,0.814032,1,0.898383,0.169032,0.346428,0.964752,0.332819,0.320412,1,1,0.471008,1,0.125563,0.695686,0.503154,0.22088,0.204943,0.331443,0.049602,0.555757,0.608125,0.421818,0.217783,0.29794,0.466251,0.457931,0.551814,0.609165,0.562668,0.176407,0.312361,0.322766,0.076957,0.281267,0.785713,0.265499,0.339944,0.28988,0.638106,0.131359,0.486357,0.532209,0.681271,0.305336,0.578567,0.363759,0.595488,0.330219,0.501018,0.545021,0.201355,0.515441,0.401708,1,0.308374,0.568141,0.348967,0.744492,0.44298,0.122182,0.08821,0.612979,0.959084,0.318464,0.588679,0.06557,0.333904,0.048048,0.338896,0.403024,0.65439,0.840714,0.448124,0.574582,0.151369,0.903412,1,0.062899,0.144863,0.377414,0.794931,0.358649,0.112523,0.434455,0.043313,0.379462,0.064552,0,0.581859,0.575773,0.657629,0.117625,0.137501,0.103126,0.131014,0.013321,0.343208,0.011603,0.932882,0.773299,0.56496,0.729477,0.631653,0.571399,0.336612,0.20834,0.139408,0.885919,0.086137,0.554465,0.065249,0.536907,0.536454,0.090814,0.8809,0.498128,0.250308,0.168735,1,0,1,0,0,0,0
0.054722,0.946052,0.037133,0.449529,0.771229,0.608394,0.485753,0.939614,0.581723,0.845566,0.020774,0.487777,0.213243,0.453994,0.323045,0.241904,0.351577,0.907968,0.397533,0.222345,0.482421,0.692837,0.014641,0.520051,0.330213,0.413871,0.261261,1,0.419585,0.634013,0.570976,0.057931,0.196972,0.805086,0.362874,0.321804,0.536936,0.430734,0.32323,0.526693,0.100258,0.392833,0.466899,0.235664,0.156982,0.260277,0.515129,0.445921,0.464674,0.364252,0.320261,0.287876,0.410874,0.420558,0.049013,0.473575,0.449219,0.003158,0.070624,0.247517,0.03715,0.30569,0.374259,0.260433,0.018844,0.068734,0.537306,0.038555,0.456902,0.549698,0.470254,0.385741,0.534438,0.559294,0.750861,0.331927,0.326937,0.568745,0.018781,0.774843,0.390192,0.197792,0.404547,0.591523,0.39287,0.413875,0.465479,0.023163,0.027596,0.423779,0.557937,0.355384,0.457517,0.005252,0.194165,0.048844,0.351481,0.231403,0.337078,0.552527,0.415146,0.543926,0.234929,0.555422,0.01787,0.011948,0.091813,0.350768,0.359019,0.390658,0.03926,0.595599,0.634606,0.382403,0.005583,0.582911,0.538272,0.29081,1,0.027164,0.003553,0.163531,0.594184,0.002701,0.478388,0.010763,0.660526,0.315295,0.472312,0.441889,0.438639,0.413224,0.331722,0.002369,0.956976,0.373066,0.071941,0.635905,0.037725,0.483477,0.384918,0.589129,0.681724,0.402586,0.038514,0.06229,1,0,1,0,0,0,0
0.033078,0.560916,0.052687,0.02317,0.868654,0.523238,0.487632,0.520822,0.386127,0.179733,0.207825,0.401503,0.293277,0.397611,0.280569,0.321726,0.27906,0.169739,0.475365,0.265779,0.428084,0.083875,0.019391,0.48969,0.331332,0.865115,0.321547,0.514097,0.577742,0.509259,0.425445,0.006832,0.253478,0.432915,0.295995,0.243519,0.496276,0.290023,0.269486,0.445563,0.044048,0.3012,0.53281,0.337695,0.008621,0.18381,0.769877,0.557412,0.485921,0.227908,0.271191,0.247551,0.492944,0.45149,0.121743,0.531703,0.656692,0.004387,0.006675,0.174126,0.104099,0.350387,0.307812,0.448996,0.121752,0.002233,0,0.278074,0.463231,0.294486,0.724828,0.275021,0.311228,0.288674,0,0.291625,0.424148,0.320446,0.004129,0,0.25823,0.129425,0.261715,0.326001,0.405998,0.314259,0.451557,0.154249,0.28986,0.570171,0.531298,0.282016,0.571916,0.027618,0.176977,0.01807,0.275974,0.495348,0.371008,0,0.370359,0,0.011607,0.172236,0.366185,0.020994,0.010596,0.195165,0.332339,0.268539,0.295478,0.058883,0.148752,0.301742,0.027596,0.110271,0.309753,0.697159,0.585392,0.073531,0.149853,0.008243,0.184873,0.023531,0.036158,0.023856,0.198762,0.356962,0.613717,0.483075,0,0.390302,0.283306,0.300127,0.069267,0.366468,0.003705,0.307503,0.028374,0.300953,0.5418,1,0.389587,0.280946,0.621626,0.329789,0.543442,0,1,0,0,0,0
0.209176,0.008329,0.26576,0.003442,0,0.450081,0.446826,0.518284,0.448638,0.001074,0.10603,0.513889,0,0.457763,0.428086,0,0.40989,0.377569,0.518161,0,0.459004,0.013676,0.002427,0.544451,0.341754,0.304404,0,0.033352,0.516629,0.61044,0.521739,0.005937,0,0.518765,0.404801,0.359355,0.705728,0.516349,0.392051,0.662216,0.031879,0.556372,0.47778,0,0,0.30834,0.014953,0.396471,0.366087,0.472325,0.31581,0.432054,0.492675,0.504507,0.028314,0.413636,0.342503,0.000341,0.033737,0.357969,0.067052,0.567342,0.320624,0.290929,0.004578,0.013308,0.536874,0.082341,0.549372,0.297346,0.459172,0.414643,0.351468,0.488208,0.163424,0.36987,0.425322,0.31214,0.031086,0,0.514637,0.278848,0.497311,0.306667,0.491524,0.493114,0.343912,0.018566,0.150787,0.450662,0.007562,0.372071,0.414274,0.002591,0,0.067893,0.341344,0.249676,0.571543,0,0.451646,0,0.001488,0.015262,0.047236,0.010016,0.004022,0.416221,0.299458,0.454163,0.096098,0,0.607092,0.491367,0.010011,0.417934,0.517805,0.270918,0.732025,0.024413,0.194964,0.003922,0.554403,0.001316,0,0.001361,0,0.399678,0.342637,0,0.221157,0.307455,0.310528,0.03937,0.045211,0.284211,0.002406,0.392222,0.52812,0.299595,0,0.162216,0,0.555473,0.010001,0.04712,0.000064,0,1,0,0,0,0
0.017522,0.164158,0.017552,0.062329,0.000155,0.477992,0.556081,0.590255,0.590043,0.028538,0.007219,0.583915,0,0.640309,0.372277,0,0.345802,0.019721,0.565788,0,0.484322,0.03556,0.002991,0.565217,0.260154,0.50208,0.084563,0.060409,0.573448,0.602355,0.590244,0,0,0.626935,0.332675,0.344287,0.581947,0.565217,0.382627,0.576467,0.178006,0.679671,0.760612,0.474213,0.002667,0.390097,0.000129,0.57309,0.578592,0.505309,0.176787,0.207495,0.394201,0.353619,0.038244,0.594415,0.453189,0.00007,0.090047,0.56628,0.217492,0.390354,0.487599,0.498569,0,0.001484,0.170917,0.049292,0.38039,0.12,0.514895,0.4412,0.121173,0.211098,0.171057,0.238052,0.405473,0.250583,0.038026,0.189186,0.515652,0.007313,0.494115,0.134019,0.695317,0.515117,0.822095,0.00916,0.060322,0.458154,0.361846,0.323553,0.439848,0.005882,0.124866,0.217262,0.270892,0.581041,0.581084,0.335177,0.351147,0.169643,0.168532,0.36685,0,0.167963,0.275164,0.375734,0.85976,0.842551,0.012177,0.167822,0.307485,0.412954,0.145545,0.183167,0.171523,0.466867,0.43286,0.194477,0.128558,0.193171,0.283491,0.016054,0.17024,0.018067,0.167498,0.654643,0.699029,0.189091,0.168938,0.1193,0.120309,0.187858,0.148689,1,0.071133,0.169479,0.209172,0.42415,0.178751,0.217148,0.168685,0.771289,0.051001,0.325764,0.002823,0,1,0,0,0,0
0.000422,0,0,0.00314,0,0.579117,0.522835,0.522678,0.521739,0,0,0.521739,1,0.521739,0.711948,1,0.72415,0,0.521739,1,0.591597,0,0,0.521739,1,0.592615,0.790861,0,0.521426,0.521784,0.521739,0,0.997942,0.521739,0.424609,0.351708,0.521739,0.521739,0.710789,0.521739,0.009474,0.307483,0.701646,0.533995,0,0.842101,0,0.713377,0.521739,0.557627,0.887961,0.962415,0.537551,0.731761,0,0.521739,0.637066,0,0.000092,0.524009,0.025481,0.521471,0.562915,0.627169,0,0,0,0.003796,0.862889,0.306667,0.646202,0.781612,0.306667,0,0,0.306667,0.521739,0.306667,0.0006,0,0.646715,0,0.529657,0.306667,0.521739,0.302044,0.51787,0,0.083494,0.521739,0,0.732846,0.522097,0.011824,0.557032,0.021938,0.530782,0.521739,0.229911,0,0.75274,0,0,0,0,0.068903,0.000719,0.303429,0.277414,0.30716,0.009598,0,0.699462,0.648651,0.239508,0,0.305995,0.051746,0.09353,0.016937,0,0,0.633047,0.095272,0,0.262903,0,0.266749,0.720679,0,0,0.306667,0.305185,0.012419,0.080077,0.306982,0,0.306763,0.005018,0.306152,0,0.018693,0,0.34954,0.089502,1,0,0,1,0,0,0,0
