@relation 'scene-weka.filters.unsupervised.attribute.Remove-V-R292,291,243,284,290,96,102,241,231,234,237,235,101,233,103,289,196,238,202,100,201,242,240,236,245,200,199,232,206,226,105,104,207,205,190,198,244,186,223,214,146,228,110,203,210,43,248,239,147,197,251,106,194,112,99,45,10,142,253,193,195,208,115,108,116,230,250,145,95,215,189,38,287,40,123,225,209,227,246,109,49,111,219,118,107,144,229,39,47,281,216,180,41,44,249,212,153,46,117,220,213,218,221,192,137,293,143,124,55,37,211,48,16,294,191,134,204,217,56,247,222,141,149,114,119,88,135,187,113,161,156,42,256,136,173,51,36,257,139,152,183,138,188,122,54,120-121,295-300'

@attribute Att292 numeric
@attribute Att291 numeric
@attribute Att243 numeric
@attribute Att284 numeric
@attribute Att290 numeric
@attribute Att96 numeric
@attribute Att102 numeric
@attribute Att241 numeric
@attribute Att231 numeric
@attribute Att234 numeric
@attribute Att237 numeric
@attribute Att235 numeric
@attribute Att101 numeric
@attribute Att233 numeric
@attribute Att103 numeric
@attribute Att289 numeric
@attribute Att196 numeric
@attribute Att238 numeric
@attribute Att202 numeric
@attribute Att100 numeric
@attribute Att201 numeric
@attribute Att242 numeric
@attribute Att240 numeric
@attribute Att236 numeric
@attribute Att245 numeric
@attribute Att200 numeric
@attribute Att199 numeric
@attribute Att232 numeric
@attribute Att206 numeric
@attribute Att226 numeric
@attribute Att105 numeric
@attribute Att104 numeric
@attribute Att207 numeric
@attribute Att205 numeric
@attribute Att190 numeric
@attribute Att198 numeric
@attribute Att244 numeric
@attribute Att186 numeric
@attribute Att223 numeric
@attribute Att214 numeric
@attribute Att146 numeric
@attribute Att228 numeric
@attribute Att110 numeric
@attribute Att203 numeric
@attribute Att210 numeric
@attribute Att43 numeric
@attribute Att248 numeric
@attribute Att239 numeric
@attribute Att147 numeric
@attribute Att197 numeric
@attribute Att251 numeric
@attribute Att106 numeric
@attribute Att194 numeric
@attribute Att112 numeric
@attribute Att99 numeric
@attribute Att45 numeric
@attribute Att10 numeric
@attribute Att142 numeric
@attribute Att253 numeric
@attribute Att193 numeric
@attribute Att195 numeric
@attribute Att208 numeric
@attribute Att115 numeric
@attribute Att108 numeric
@attribute Att116 numeric
@attribute Att230 numeric
@attribute Att250 numeric
@attribute Att145 numeric
@attribute Att95 numeric
@attribute Att215 numeric
@attribute Att189 numeric
@attribute Att38 numeric
@attribute Att287 numeric
@attribute Att40 numeric
@attribute Att123 numeric
@attribute Att225 numeric
@attribute Att209 numeric
@attribute Att227 numeric
@attribute Att246 numeric
@attribute Att109 numeric
@attribute Att49 numeric
@attribute Att111 numeric
@attribute Att219 numeric
@attribute Att118 numeric
@attribute Att107 numeric
@attribute Att144 numeric
@attribute Att229 numeric
@attribute Att39 numeric
@attribute Att47 numeric
@attribute Att281 numeric
@attribute Att216 numeric
@attribute Att180 numeric
@attribute Att41 numeric
@attribute Att44 numeric
@attribute Att249 numeric
@attribute Att212 numeric
@attribute Att153 numeric
@attribute Att46 numeric
@attribute Att117 numeric
@attribute Att220 numeric
@attribute Att213 numeric
@attribute Att218 numeric
@attribute Att221 numeric
@attribute Att192 numeric
@attribute Att137 numeric
@attribute Att293 numeric
@attribute Att143 numeric
@attribute Att124 numeric
@attribute Att55 numeric
@attribute Att37 numeric
@attribute Att211 numeric
@attribute Att48 numeric
@attribute Att16 numeric
@attribute Att294 numeric
@attribute Att191 numeric
@attribute Att134 numeric
@attribute Att204 numeric
@attribute Att217 numeric
@attribute Att56 numeric
@attribute Att247 numeric
@attribute Att222 numeric
@attribute Att141 numeric
@attribute Att149 numeric
@attribute Att114 numeric
@attribute Att119 numeric
@attribute Att88 numeric
@attribute Att135 numeric
@attribute Att187 numeric
@attribute Att113 numeric
@attribute Att161 numeric
@attribute Att156 numeric
@attribute Att42 numeric
@attribute Att256 numeric
@attribute Att136 numeric
@attribute Att173 numeric
@attribute Att51 numeric
@attribute Att36 numeric
@attribute Att257 numeric
@attribute Att139 numeric
@attribute Att152 numeric
@attribute Att183 numeric
@attribute Att138 numeric
@attribute Att188 numeric
@attribute Att122 numeric
@attribute Att54 numeric
@attribute Att120 numeric
@attribute Att121 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}

@data
0.247298,0.157332,0.558273,0.329816,0.124074,0.194235,0.141344,0.589159,0.530216,0.603675,0.596149,0.51409,0.136523,0.485518,0.170082,0.354982,0.00649,0.583031,0.34692,0.13275,0.29548,0.562813,0.460268,0.600857,0.602612,0.264951,0.255211,0.331432,0.194579,0.499351,0.256125,0.21585,0.372685,0.157363,0.093826,0.236838,0.58803,0.188077,0.512927,0.364846,0.330857,0.537507,0.280034,0.479871,0.495247,0.607308,0.001762,0.578883,0.326674,0.212997,0.084242,0.137942,0.075619,0.325151,0.124623,0.659741,0.580782,0.453909,0.196353,0.106168,0.008323,0.529399,0.016968,0.146722,0.035528,0.597837,0.040129,0.370412,0.542055,0.391528,0.045902,0.59045,0.068962,0.645884,0.024198,0.453827,0.501197,0.519089,0.001898,0.23513,0.842202,0.321427,0.277878,0.105021,0.13679,0.390336,0.546453,0.508313,0.796168,0.47715,0.380569,0.20256,0.800611,0.589019,0.001927,0.206835,0.031374,0.692727,0.037147,0.307893,0.229838,0.178129,0.329844,0.301727,0.520857,0.014025,0.559081,0.072339,0.810969,0.61451,0.175233,0.831285,0.428206,0.029709,0.355518,0.393896,0.126163,0.358092,0.501902,0.000611,0.438987,0.409451,0.000709,0.003649,0.264698,0.705878,0.52561,0.111631,0.011811,0.011999,0.00398,0.741071,0.41237,0.546694,0.114163,0.000083,0.710196,0.204738,0.352682,0.014357,0.062853,0.448004,0.020486,0.020604,0.196997,0.108224,0.080096,1,0,0,0,1,0
0.137833,0.251454,0.617575,0.051859,0.176387,0.220413,0.240405,0.594002,0.634069,0.568729,0.642803,0.657105,0.232627,0.629831,0.226447,0.303399,0.052414,0.555567,0.351561,0.23225,0.33812,0.558564,0.500693,0.617228,0.656938,0.342615,0.340613,0.600465,0.382504,0.587281,0.220521,0.242332,0.434112,0.381464,0.143118,0.34909,0.638408,0.099932,0.573269,0.472178,0.432647,0.580828,0.341235,0.330146,0.520889,0.635261,0.002397,0.526492,0.436461,0.3594,0.050018,0.237174,0.021844,0.343827,0.231433,0.656581,0.740314,0.454403,0.004475,0.076152,0.045363,0.522656,0.347126,0.239492,0.313272,0.585659,0.003873,0.405926,0.218179,0.526537,0.277789,0.594992,0.414088,0.582844,0.462894,0.49395,0.549864,0.592794,0.002222,0.314664,0.702769,0.355631,0.520744,0.349897,0.234595,0.438059,0.536769,0.65047,0.733633,0.354085,0.53016,0.121086,0.620887,0.67848,0.013929,0.404511,0.017264,0.745513,0.312401,0.501689,0.515007,0.4098,0.507928,0.126997,0.48952,0.082672,0.478676,0.393443,0.11911,0.605896,0.437265,0.776127,0.624697,0.03632,0.089555,0.480514,0.389045,0.517445,0.015581,0.003662,0.559458,0.459808,0.000246,0.282881,0.373025,0.298399,0.538011,0.104708,0.337209,0.061298,0.000401,0.619105,0.159426,0.532003,0.094584,0,0.634007,0.13157,0.51799,0.003151,0.155181,0.484739,0.20987,0.446379,0.005941,0.309561,0.430432,1,0,0,0,0,1
0.051125,0.017166,0.719784,0.028559,0.006049,0.229588,0.262963,0.631497,0.627013,0.664643,0.727154,0.701467,0.26987,0.615651,0.248731,0.00346,0.018549,0.698761,0.215009,0.278628,0.218901,0.627427,0.628198,0.700405,0.671654,0.24707,0.248837,0.551206,0.291286,0.38975,0.227119,0.241228,0.250794,0.327988,0.00055,0.263352,0.726349,0.004406,0.624508,0.341318,0.469266,0.721473,0.208608,0.202037,0.210089,0.597636,0.016284,0.601505,0.463621,0.296934,0.022118,0.29596,0.009633,0.196783,0.292222,0.620396,0.812746,0.381111,0.04351,0.001083,0.020113,0.217112,0.237661,0.258635,0.236536,0.6979,0.03784,0.448539,0.094455,0.34323,0.014068,0.648123,0.079977,0.662322,0.360144,0.370314,0.204274,0.492452,0.041683,0.227058,0.438471,0.200706,0.480028,0.215652,0.284239,0.417298,0.726449,0.680452,0.633658,0.051372,0.344326,0.015597,0.566771,0.636432,0.023922,0.338388,0.002797,0.558789,0.222922,0.476673,0.337974,0.480978,0.53981,0.000675,0.438525,0.112506,0.406296,0.388621,0.005256,0.652387,0.342984,0.539102,0.857499,0.083924,0.000529,0.354218,0.345131,0.356358,0.00488,0.032027,0.607935,0.374026,0.002627,0.250027,0.224657,0.099314,0.373477,0.010829,0.260247,0.005044,0.003064,0.461133,0.013867,0.417373,0.023009,0.020511,0.622198,0.00913,0.477997,0.003295,0.005085,0.463354,0.004866,0.332812,0.009422,0.336406,0.336536,1,0,0,0,0,0
0.03129,0.019267,0.718241,0.043669,0.009735,0.068329,0.330617,0.606448,0.693281,0.525374,0.641427,0.676317,0.318786,0.397388,0.332167,0.007694,0.011834,0.689379,0.512614,0.320727,0.463779,0.662518,0.560029,0.659219,0.610921,0.460637,0.44724,0.330571,0.46558,0.326624,0.359369,0.354252,0.470724,0.45915,0.00143,0.443416,0.625089,0.002452,0.682088,0.50728,0.427353,0.682434,0.33417,0.526961,0.638922,0.620717,0.009885,0.488873,0.428903,0.436281,0.08988,0.323669,0.001249,0.364726,0.322174,0.682563,0.96632,0.36954,0.005544,0.001719,0.009534,0.492508,0.343601,0.321763,0.35559,0.709317,0.00252,0.429513,0.06215,0.655193,0.004537,0.643989,0.024174,0.773725,0.390267,0.343979,0.683698,0.357555,0.007494,0.326811,0.512015,0.396756,0.366613,0.425521,0.321872,0.418368,0.685096,0.705878,0.638804,0.018757,0.629741,0.00699,0.716752,0.674617,0.004585,0.497886,0.008383,0.663321,0.453237,0.34531,0.491154,0.36214,0.549193,0.002567,0.424554,0.04978,0.398141,0.461914,0.290435,0.719352,0.496332,0.605012,0.972303,0.090959,0.000803,0.299328,0.455907,0.556171,0.598068,0.01235,0.719147,0.337538,0.003436,0.345864,0.38989,0.210717,0.319266,0.002442,0.34572,0.03926,0.002163,0.624669,0.003958,0.363416,0.002946,0.00472,0.736683,0.030881,0.439362,0.000966,0.001924,0.433491,0.002416,0.304492,0.000767,0.314211,0.314438,1,0,0,0,0,0
0.238796,0.198151,0.733875,0.387559,0.218534,0.38171,0.231722,0.806584,0.531412,0.770934,0.608886,0.752382,0.229774,0.740361,0.237305,0.22658,0.030537,0.565586,0,0.22904,0,0.736883,0.753892,0.683698,0.702474,0,0.004115,0.643172,0.059313,0.642792,0.229863,0.239348,0.044865,0.078379,0.041243,0.016058,0.83094,0.198196,0.393485,0.182736,0.269781,0.604435,0.218038,0,0.020241,0.354766,0.001182,0.750022,0.293731,0.028538,0.001849,0.217846,0.018212,0.231056,0.230247,0.461353,0.584449,0.284616,0.006113,0.025554,0.014309,0.044664,0.324314,0.215933,0.246214,0.581455,0.003992,0.274081,0.381694,0.141181,0.19288,0.610411,0.129994,0.74371,0.266619,0.722032,0.033168,0.584955,0.007056,0.216159,0.559726,0.223498,0.618592,0.223484,0.215322,0.267531,0.62349,0.698119,0.448555,0.20857,0.125358,0.050114,0.916742,0.42298,0.002744,0.273249,0.000164,0.459486,0.221379,0.559056,0.396448,0.598542,0.497048,0.024087,0.369636,0.16427,0.243992,0.20284,0.005336,0.394086,0.273081,0.545844,0.539517,0.18429,0.027979,0.276859,0.090546,0.110149,0.006313,0.001369,0.458311,0.246187,0.000144,0.263457,0.224746,0.409871,0.286859,0.048549,0.260123,0.000279,0.000248,0.734423,0.00734,0.279904,0.011583,0.001654,0.276264,0.010177,0.372373,0.00035,0.032397,0.358697,0.053977,0.320144,0.005484,0.379698,0.384582,1,0,0,0,0,0
0.07501,0.039862,0.680052,0.037579,0.0346,0.222042,0.293656,0.653885,0.448504,0.620762,0.599738,0.640376,0.273059,0.596954,0.309136,0.048032,0.023731,0.480587,0.479659,0.243491,0.478294,0.666969,0.65261,0.680354,0.380122,0.478294,0.460682,0.656927,0.479491,0.60571,0.331838,0.32701,0.478194,0.482007,0.002947,0.422828,0.634427,0.001977,0.550814,0.455415,0.580226,0.622428,0.33251,0.478663,0.482387,0.635593,0.002318,0.639627,0.315569,0.368223,0.000748,0.230604,0.0292,0.344012,0.217853,0.857111,0.961512,0.355261,0.013828,0.001473,0.03322,0.490908,0.21834,0.295905,0.245226,0.568896,0.000267,0.38332,0.212606,0.522309,0.033986,0.622364,0.086379,0.749855,0.301598,0.589942,0.531647,0.577999,0.020624,0.313484,0.527031,0.34644,0.540336,0.431639,0.295933,0.359307,0.618782,0.852566,0.823096,0.055912,0.577272,0.008434,0.477832,0.749084,0.000419,0.476058,0.000359,0.802736,0.334122,0.541756,0.436158,0.411433,0.541823,0.001694,0.345679,0.071401,0.346358,0.320178,0,0.696348,0.348352,0.455419,0.669714,0.090164,0.002032,0.344698,0.412015,0.486167,0,0.006309,0.553487,0.343724,0.001446,0.302586,0.304438,0.178743,0.332778,0.029937,0.184225,0.000166,0.021919,0.726262,0.00029,0.348738,0.039594,0.028791,0.768459,0.010173,0.556433,0.000446,0.002878,0.388848,0.034862,0.304547,0.000036,0.245075,0.350809,1,0,0,0,0,0
0.007633,0.005127,0.640443,0.031668,0.006311,0.039947,0.293409,0.630412,0.410293,0.647634,0.610619,0.641517,0.31749,0.626353,0.275549,0.005356,0.011999,0.585436,0.345008,0.338807,0.417427,0.642959,0.621522,0.604021,0.594058,0.478909,0.499016,0.609288,0.487464,0.625514,0.230576,0.256626,0.49357,0.485787,0.000695,0.497573,0.625973,0.032732,0.382436,0.488896,0.412476,0.535639,0.288464,0.264895,0.369699,0.692633,0.002229,0.597547,0.417785,0.500391,0.01723,0.32511,0.001248,0.249492,0.333971,0.744932,0.972544,0.393834,0.001458,0.000367,0.005457,0.477445,0.320075,0.323676,0.302634,0.440475,0.015752,0.405405,0.02179,0.480386,0.012906,0.762474,0.041734,0.556217,0.317366,0.612017,0.426049,0.609456,0.000786,0.306907,0.55254,0.276468,0.540347,0.266907,0.335837,0.400638,0.480721,0.713859,0.734175,0.00873,0.444869,0.056267,0.591437,0.7256,0.005844,0.496556,0.000398,0.754131,0.284506,0.540023,0.507459,0.572207,0.499128,0.000702,0.428635,0.02978,0.395117,0.283868,0.010949,0.747139,0.505368,0.637862,0.980565,0.038599,0.000612,0.376818,0.492396,0.356817,0.015716,0.001071,0.438685,0.380137,0.00071,0.340521,0.258224,0.273047,0.389966,0.066124,0.326927,0.000765,0.00028,0.662065,0.001335,0.402147,0.008127,0.000744,0.700211,0.005198,0.44192,0.000552,0.000674,0.465802,0.04929,0.329102,0.010415,0.351529,0.341872,1,0,0,0,0,0
0.054291,0.107653,0.506419,0.158985,0.051774,1,0.106454,0.51806,0.481526,0.589104,0.542561,0.538088,0.086523,0.531725,0.116337,0.011505,0.039694,0.606638,0.432535,0.080158,0.434112,0.46114,0.540481,0.408168,0.582674,0.425982,0.414699,0.489645,0.443438,0.582081,0.114403,0.120178,0.449041,0.439759,0.01492,0.395576,0.522846,0.016955,0.425702,0.459329,0.316934,0.570138,0.170405,0.431294,0.452932,0.811058,0.001506,0.558362,0.403813,0.356962,0.000594,0.310418,0.092985,0.172071,0.069472,0.770778,0.94153,0.312497,0.018063,0.020325,0.057507,0.45187,0.307407,0.143951,0.229218,0.490528,0.000192,0.3769,0.57001,0.463958,0.003595,0.842671,0.009123,0.45197,0.301001,0.515779,0.451266,0.546598,0.005994,0.161962,0.71181,0.172469,0.461834,0.214081,0.194252,0.382682,0.471574,0.65261,0.392251,0.197811,0.470288,0.150975,0.735555,0.814521,0.001545,0.517177,0.001018,0.509969,0.213532,0.436628,0.47617,0.442174,0.404835,0.012767,0.39987,0.083478,0.318882,0.25286,0.00012,0.823461,0.529679,0.584213,0.792891,0.052316,0.008853,0.320837,0.432076,0.466486,0.000082,0.004244,0.39788,0.350178,0.000625,0.379143,0.220953,0.881872,0.346824,0.190194,0.411214,0.001643,0.07013,0.804327,0.001447,0.390082,0.015248,0.000568,0.787179,0.001078,0.387572,0.001511,0.017618,0.372099,0.015241,0.322119,0.000103,0.344163,0.363868,1,0,0,0,1,0
0.001383,0.004409,0.689155,0.036212,0.015161,0.000234,0.186481,0.615372,0.674875,0.592347,0.704006,0.61677,0.18559,0.538122,0.186934,0.008899,0.000227,0.682691,0.178218,0.184691,0.18306,0.685644,0.55995,0.707226,0.68457,0.177984,0.180936,0.43239,0.551116,0.618816,0.185617,0.185631,0.455459,0.219728,0.000793,0.177492,0.682479,0.000479,0.585301,0.790202,0.289767,0.670033,0.228834,0.230173,0.581578,0.675901,0.001923,0.506027,0.290953,0.179952,0.001361,0.19976,0.000346,0.244383,0.18225,0.647769,0.736194,0.297572,0.001275,0.000403,0.000197,0.472983,0.365734,0.25679,0.341845,0.664352,0.001562,0.297209,0.00782,0.768876,0.000198,0.650516,0.001543,0.763069,0.355432,0.434201,0.533514,0.674573,0.00151,0.236344,0.7148,0.257874,0.781703,0.331776,0.211317,0.29561,0.67455,0.649616,0.7614,0.041477,0.647175,0.00117,0.77843,0.660087,0.001147,0.636205,0.000531,0.742791,0.352695,0.7917,0.82593,0.601337,0.788234,0.000693,0.32035,0.001531,0.310062,0.359945,0.003224,0.66767,0.246422,0.747155,0.814144,0.001602,0.001263,0.274774,0.191459,0.570921,0.015131,0.000881,0.786959,0.280501,0.000384,0.319609,0.265316,0.017182,0.290796,0.000967,0.21142,0.026442,0.006526,0.761025,0.95385,0.30941,0.001592,0.003414,0.707332,0.987303,0.297421,0.000226,0.000847,0.3019,0.000273,0.362647,0.003141,0.292469,0.34406,1,0,0,0,0,0
0.007409,0.00796,0.61753,0.02046,0.007865,0.010606,0.28144,0.620382,0.586286,0.528773,0.610608,0.535773,0.294012,0.494733,0.282305,0.014646,0.000301,0.598956,0.029377,0.306605,0.026615,0.624497,0.612979,0.538905,0.599179,0.021303,0.019715,0.298857,0.295044,0.360239,0.274973,0.278368,0.318684,0.263587,0.013474,0.014638,0.618581,0.002851,0.475085,0.605072,0.346591,0.456253,0.336097,0.028136,0.374642,0.078646,0.009365,0.47532,0.350055,0.003724,0.007726,0.296639,0.002931,0.338285,0.337675,0.438487,0.789678,0.391008,0.056329,0.001436,0.000226,0.385422,0.333491,0.314664,0.347257,0.505558,0.005784,0.37225,0.026907,0.631016,0.000509,0.459874,0.002416,0.622453,0.294362,0.1945,0.43362,0.416488,0.012438,0.317092,0.64553,0.336907,0.319679,0.375446,0.309451,0.401125,0.446849,0.536164,0.632587,0.092649,0.624005,0.001071,0.68874,0.337504,0.009089,0.552603,0.000922,0.538002,0.354582,0.386127,0.579979,0.170446,0.418143,0.002373,0.353827,0.002724,0.404108,0.301674,0.014215,0.364919,0.437086,0.679157,0.735057,0.002013,0.002814,0.272085,0.136384,0.637223,0.016188,0.011256,0.43466,0.263724,0.002555,0.352503,0.37107,0.01084,0.350658,0.001695,0.389705,0.019806,0.004979,0.679017,1,0.355672,0.001091,0.017044,0.170871,1,0.344177,0.000417,0.006374,0.354184,0.000603,0.293663,0.013538,0.379877,0.332565,1,0,0,0,0,0
