@relation 'scene-weka.filters.unsupervised.attribute.Remove-V-R292,291,243,284,290,96,102,241,231,234,237,235,101,233,103,289,196,238,202,100,201,242,240,236,245,200,199,232,206,226,105,104,207,205,190,198,244,186,223,214,146,228,110,203,210,43,248,239,147,197,251,106,194,112,99,45,10,142,253,193,195,208,115,108,116,230,250,145,95,215,189,38,287,40,123,225,209,227,246,109,49,111,219,118,107,144,229,39,47,281,216,180,41,44,249,212,153,46,117,220,213,218,221,192,137,293,143,124,55,37,211,48,16,294,191,134,204,217,56,247,222,141,149,114,119,88,135,187,113,161,156,42,256,136,173,51,36,257,139,152,183,138,188,122,54,120-121,295-300'

@attribute Att292 numeric
@attribute Att291 numeric
@attribute Att243 numeric
@attribute Att284 numeric
@attribute Att290 numeric
@attribute Att96 numeric
@attribute Att102 numeric
@attribute Att241 numeric
@attribute Att231 numeric
@attribute Att234 numeric
@attribute Att237 numeric
@attribute Att235 numeric
@attribute Att101 numeric
@attribute Att233 numeric
@attribute Att103 numeric
@attribute Att289 numeric
@attribute Att196 numeric
@attribute Att238 numeric
@attribute Att202 numeric
@attribute Att100 numeric
@attribute Att201 numeric
@attribute Att242 numeric
@attribute Att240 numeric
@attribute Att236 numeric
@attribute Att245 numeric
@attribute Att200 numeric
@attribute Att199 numeric
@attribute Att232 numeric
@attribute Att206 numeric
@attribute Att226 numeric
@attribute Att105 numeric
@attribute Att104 numeric
@attribute Att207 numeric
@attribute Att205 numeric
@attribute Att190 numeric
@attribute Att198 numeric
@attribute Att244 numeric
@attribute Att186 numeric
@attribute Att223 numeric
@attribute Att214 numeric
@attribute Att146 numeric
@attribute Att228 numeric
@attribute Att110 numeric
@attribute Att203 numeric
@attribute Att210 numeric
@attribute Att43 numeric
@attribute Att248 numeric
@attribute Att239 numeric
@attribute Att147 numeric
@attribute Att197 numeric
@attribute Att251 numeric
@attribute Att106 numeric
@attribute Att194 numeric
@attribute Att112 numeric
@attribute Att99 numeric
@attribute Att45 numeric
@attribute Att10 numeric
@attribute Att142 numeric
@attribute Att253 numeric
@attribute Att193 numeric
@attribute Att195 numeric
@attribute Att208 numeric
@attribute Att115 numeric
@attribute Att108 numeric
@attribute Att116 numeric
@attribute Att230 numeric
@attribute Att250 numeric
@attribute Att145 numeric
@attribute Att95 numeric
@attribute Att215 numeric
@attribute Att189 numeric
@attribute Att38 numeric
@attribute Att287 numeric
@attribute Att40 numeric
@attribute Att123 numeric
@attribute Att225 numeric
@attribute Att209 numeric
@attribute Att227 numeric
@attribute Att246 numeric
@attribute Att109 numeric
@attribute Att49 numeric
@attribute Att111 numeric
@attribute Att219 numeric
@attribute Att118 numeric
@attribute Att107 numeric
@attribute Att144 numeric
@attribute Att229 numeric
@attribute Att39 numeric
@attribute Att47 numeric
@attribute Att281 numeric
@attribute Att216 numeric
@attribute Att180 numeric
@attribute Att41 numeric
@attribute Att44 numeric
@attribute Att249 numeric
@attribute Att212 numeric
@attribute Att153 numeric
@attribute Att46 numeric
@attribute Att117 numeric
@attribute Att220 numeric
@attribute Att213 numeric
@attribute Att218 numeric
@attribute Att221 numeric
@attribute Att192 numeric
@attribute Att137 numeric
@attribute Att293 numeric
@attribute Att143 numeric
@attribute Att124 numeric
@attribute Att55 numeric
@attribute Att37 numeric
@attribute Att211 numeric
@attribute Att48 numeric
@attribute Att16 numeric
@attribute Att294 numeric
@attribute Att191 numeric
@attribute Att134 numeric
@attribute Att204 numeric
@attribute Att217 numeric
@attribute Att56 numeric
@attribute Att247 numeric
@attribute Att222 numeric
@attribute Att141 numeric
@attribute Att149 numeric
@attribute Att114 numeric
@attribute Att119 numeric
@attribute Att88 numeric
@attribute Att135 numeric
@attribute Att187 numeric
@attribute Att113 numeric
@attribute Att161 numeric
@attribute Att156 numeric
@attribute Att42 numeric
@attribute Att256 numeric
@attribute Att136 numeric
@attribute Att173 numeric
@attribute Att51 numeric
@attribute Att36 numeric
@attribute Att257 numeric
@attribute Att139 numeric
@attribute Att152 numeric
@attribute Att183 numeric
@attribute Att138 numeric
@attribute Att188 numeric
@attribute Att122 numeric
@attribute Att54 numeric
@attribute Att120 numeric
@attribute Att121 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}

@data
0.013965,0.025326,0.670569,0.004693,0.026795,0.125529,0.238964,0.703402,0.51711,0.654724,0.648338,0.653124,0.253964,0.662786,0.245734,0.027432,0.004374,0.646985,0.347558,0.238724,0.347815,0.678252,0.711118,0.654612,0.681405,0.344885,0.346697,0.665369,0.347826,0.542617,0.226914,0.243553,0.346272,0.360955,0.012366,0.356862,0.679672,0.005493,0.418903,0.35174,0.205021,0.559783,0.256742,0.348229,0.351528,0.515042,0.000342,0.716262,0.191838,0.373748,0.000078,0.249691,0.008064,0.228244,0.22714,0.602984,0.714603,0.189005,0.001481,0.008114,0.00793,0.342816,0.233484,0.258457,0.236166,0.526559,0.000003,0.198724,0.119386,0.353473,0.002798,0.648566,0.007714,0.65117,0.209156,0.564423,0.347066,0.536333,0.002592,0.26823,0.537942,0.255672,0.421498,0.223032,0.258361,0.195055,0.531244,0.652266,0.549684,0.008434,0.351416,0.020946,0.63326,0.540743,0.001297,0.359892,0.000464,0.561418,0.22607,0.431137,0.351393,0.441638,0.449656,0.007833,0.22155,0.015711,0.198313,0.220247,0.000817,0.631049,0.399893,0.57948,0.672077,0.015238,0.010779,0.201502,0.377438,0.349783,0.003927,0.00157,0.432009,0.185466,0.001341,0.242058,0.211728,0.006817,0.2107,0.00713,0.247579,0.001188,0.000267,0.59,0.000722,0.214156,0.002798,0.003619,0.570358,0.001137,0.211879,0.000706,0.006874,0.210439,0.006871,0.198704,0.001339,0.24668,0.214767,0,0,0,1,0,0
0.348691,0.23435,1,0.30475,0.110555,0.081819,0.228642,1,0.771571,1,1,1,0.23415,1,0.241598,0.065228,0.051251,1,0.047034,0.231557,0.068248,1,1,1,0.948783,0.056405,0.077943,1,0.093431,0.662104,0.222791,0.22917,0.101103,0.090267,0.01376,0.053487,0.988102,0.003641,0.319366,0.122249,0.124184,0.538748,0.235117,0.049114,0.036355,0.667695,0.006733,1,0.143985,0.043646,0.017516,0.248416,0.043423,0.228189,0.224945,0.650902,0.738803,0.093121,0.021047,0.025928,0.039588,0.094661,0.252092,0.23941,0.263985,0.706589,0.031224,0.118649,0.028816,0.094617,0.010176,0.812803,0.224525,0.846437,0.419102,0.722971,0.072687,0.615193,0.002647,0.238429,0.622949,0.231248,0.408816,0.231687,0.245446,0.098114,0.590177,0.817527,0.638315,0.209872,0.106314,0.078341,0.852456,0.659853,0.007474,0.133644,0.001133,0.655051,0.235556,0.414945,0.134863,0.488963,0.435386,0.014478,0.184211,0.344702,0.082558,0.386454,0.010742,0.798189,0.136227,0.614411,0.764086,0.33258,0.011351,0.175295,0.081287,0.102243,0.004676,0.004923,0.291007,0.107641,0.00074,0.247764,0.237181,0.043371,0.182023,0.004454,0.247353,0.000516,0.001587,0.839249,0.006977,0.180693,0.089374,0.004231,0.765393,0.005945,0.214561,0.00244,0.007886,0.203292,0.005359,0.423354,0.01935,0.237572,0.333416,0,0,0,1,0,0
0.049747,0.035171,1,0.324156,0.04246,0.042105,0.318464,1,0.727221,0.820261,0.862106,0.835458,0.297545,0.778773,0.320885,0.033079,0.013361,0.797772,0.584295,0.278711,0.555835,1,1,0.8177,0.996097,0.563417,0.539095,0.831578,0.561751,0.551586,0.314122,0.322208,0.516841,0.56893,0.011464,0.49839,1,0.008409,0.484512,0.450215,0.305439,0.566492,0.307936,0.552503,0.474627,0.612866,0.038643,1,0.292709,0.541689,0.001084,0.316091,0.011724,0.296632,0.315734,0.651021,0.905772,0.338896,0.006676,0.01417,0.01131,0.488158,0.299842,0.321255,0.301221,0.651872,0.005556,0.322051,0.03207,0.455761,0.010731,0.594391,0.320329,0.574458,0.298594,0.518194,0.53177,0.570865,0.010667,0.315261,0.680211,0.310425,0.49121,0.301255,0.325549,0.334431,0.643619,0.595775,0.660942,0.259322,0.476617,0.013419,0.681497,0.60672,0.019217,0.477668,0.000165,0.654165,0.300302,0.421598,0.458087,0.494487,0.446234,0.010128,0.361811,0.058586,0.354088,0.306934,0.001382,0.534669,0.484523,0.672275,0.832548,0.119791,0.007132,0.348217,0.522488,0.464014,0.003757,0.037253,0.487587,0.359664,0.010507,0.302819,0.295919,0.390732,0.35048,0.00758,0.306914,0.000295,0.000265,0.567217,0.032478,0.352257,0.001311,0.009812,0.636207,0.028939,0.339732,0.000442,0.009278,0.334787,0.012885,0.287812,0.001156,0.308272,0.305453,0,0,0,1,0,0
0.122518,0.116934,0.745359,0.136049,0.231858,0.048348,0.339739,0.764839,0.918109,0.77137,0.758275,0.736078,0.343292,0.765119,0.328594,0.164268,0.013287,0.780037,0.395174,0.342888,0.381363,0.716284,0.767635,0.785662,0.751923,0.416331,0.436863,0.793154,0.517221,0.893194,0.336406,0.334534,0.357432,0.59351,0.017934,0.438484,0.715267,0.013455,0.980173,0.839797,0.296091,0.880591,0.241187,0.391562,0.33916,0.747961,0.039432,0.768239,0.283258,0.397097,0.065106,0.225315,0.013437,0.251283,0.335926,0.758389,0.675832,0.25321,0.28383,0.013744,0.010996,0.303945,0.179753,0.252702,0.170727,0.886898,0.090167,0.269774,0.055184,0.802335,0.026299,0.772797,0.229934,0.75494,0.129959,0.935454,0.311538,0.877404,0.047655,0.2519,0.757604,0.236358,0.977948,0.158786,0.235226,0.287531,0.890018,0.775261,0.764546,0.205483,0.818527,0.013393,0.762502,0.765083,0.039225,0.829688,0.00177,0.773571,0.162586,0.989287,0.830046,1,0.988269,0.026312,0.271715,0.091364,0.260665,0.142942,0.059326,0.759436,0.848329,0.77081,0.581836,0.123486,0.015966,0.235665,0.372204,0.812232,0.019944,0.024667,0.970858,0.251523,0.000392,0.168704,0.149883,0.042233,0.249108,0.010532,0.162147,0.014516,0.02743,0.746137,0.319515,0.246008,0.004505,0.017513,0.749848,0.120282,0.267908,0.003848,0.020691,0.249547,0.009883,0.131214,0.099858,0.121056,0.138964,0,0,0,1,1,0
0.09653,0.098465,1,0.068907,0.097191,0.080136,0.260048,1,1,1,1,1,0.29118,1,0.288285,0.106275,0.005258,1,0.574007,0.333594,0.53659,1,1,1,1,0.545133,0.525396,1,0.569254,1,0.244376,0.260165,0.529243,0.544932,0.007763,0.45244,1,0.002341,0.906625,0.629093,0.211385,0.999553,0.187908,0.629641,0.53754,0.6675,0.051473,1,0.185816,0.436002,0.311445,0.27262,0.004595,0.313656,0.326591,0.720511,0.520234,0.215967,0.271383,0.00471,0.005532,0.662048,0.201914,0.235885,0.245446,1,0.168298,0.224143,0.068593,0.57697,0.016747,0.762022,0.084885,0.762022,0.211187,1,0.697151,1,0.003505,0.248834,0.677393,0.184444,0.987151,0.215919,0.270898,0.22037,0.920625,0.772919,0.732012,0.093106,0.622171,0.011626,0.73201,0.709998,0.051225,0.677592,0.020549,0.737257,0.248196,0.95764,0.620203,1,0.925982,0.005025,0.230466,0.085618,0.207853,0.277291,0.397909,0.735588,0.710201,0.720199,0.369943,0.094697,0.005191,0.198765,0.542942,0.548074,0.413813,0.006544,0.729144,0.199822,0.000736,0.161674,0.305178,0.048469,0.21784,0.002777,0.176557,0.033428,0.015999,0.631205,0.09815,0.22465,0.030438,0.005264,0.695423,0.091465,0.212353,0.014251,0.006901,0.223416,0.003918,0.209019,0.357847,0.196379,0.205706,0,0,0,1,0,0
0.098927,0.075109,0.890622,0.069433,0.053194,0.06988,0.208292,0.822632,0.899423,0.908604,0.971842,0.971786,0.22251,0.83283,0.205425,0.142317,0.025535,0.969348,0.257537,0.220219,0.259237,0.851897,0.779478,0.992262,0.916454,0.25775,0.285606,0.774557,0.591027,0.885009,0.20286,0.208903,0.572766,0.63493,0.007025,0.292438,0.890823,0.002961,0.801664,0.668288,0.099589,0.954721,0.205761,0.264895,0.531379,0.623434,0.015264,0.767747,0.080535,0.298712,0.005317,0.183567,0.013083,0.164561,0.218045,0.670803,0.766392,0.117325,0.231439,0.013056,0.017817,0.55352,0.230562,0.197695,0.281708,0.902957,0.008577,0.116989,0.058209,0.698504,0.010806,0.767122,0.078461,0.765779,0.188176,0.759997,0.543154,0.990774,0.012621,0.241818,0.547725,0.182243,0.767747,0.234204,0.188546,0.147469,0.931182,0.773805,0.675572,0.006975,0.696032,0.003231,0.717604,0.582564,0.012705,0.662305,0.000559,0.675738,0.243964,0.804393,0.61942,0.731605,0.833356,0.009624,0.137984,0.082786,0.120761,0.174225,0.003153,0.731592,0.687332,0.621751,0.702466,0.119227,0.020134,0.121337,0.586129,0.719326,0.00216,0.018794,0.843085,0.120892,0.00339,0.230508,0.177181,0.048539,0.120021,0.003006,0.230727,0.025992,0.013238,0.643043,0.252079,0.121248,0.013488,0.006269,0.682593,0.247894,0.130782,0.000392,0.001539,0.136214,0.004331,0.168395,0.003419,0.158361,0.162743,0,0,0,1,0,0
0.05599,0.09283,1,0.08739,0.270554,0.020607,0.346093,1,0.913789,0.916489,1,1,0.346623,0.953917,0.325708,0.35124,0.010677,1,0.452993,0.302963,0.479042,1,0.999799,1,0.953455,0.498271,0.49588,1,0.540317,0.865599,0.295171,0.315599,0.465745,0.586104,0.025557,0.513486,1,0.012979,0.768661,0.501776,0.283312,0.925961,0.271503,0.411753,0.406661,0.742015,0.000985,1,0.323021,0.570475,0.035367,0.246282,0.010392,0.234916,0.235004,0.699038,0.905348,0.225599,0.09332,0.016533,0.014868,0.442621,0.223145,0.304415,0.26183,0.934747,0.01231,0.254604,0.013933,0.463508,0.00953,0.585575,0.089146,0.794434,0.306718,0.874988,0.40131,0.778761,0.133947,0.294357,0.706889,0.256732,0.720719,0.254808,0.258889,0.182237,0.90826,0.819731,0.752808,0.164482,0.501717,0.118889,0.805298,0.660583,0.000525,0.529826,0.007206,0.773571,0.279564,0.780773,0.570202,0.779412,0.804608,0.049913,0.279267,0.056499,0.188736,0.325069,0.156781,0.633226,0.797551,0.742093,0.312663,0.04613,0.104228,0.246914,0.533426,0.438358,0.22034,0.023974,0.700507,0.237829,0.011326,0.220871,0.237378,0.017156,0.337611,0.027535,0.130472,0.009448,0.033241,0.789631,0.007836,0.363965,0.100556,0.509195,0.756517,0.009808,0.288954,0.005966,0.039592,0.28655,0.017385,0.302977,0.106697,0.316137,0.295309,0,0,0,1,1,0
0.223679,0.276613,0.782743,0.401868,0.185995,0.120914,0.327599,1,0.904947,0.93958,0.968789,0.788122,0.333299,0.652196,0.321166,0.361302,0.016293,0.85883,0.469997,0.344623,0.478529,0.865618,0.721115,0.908962,0.840826,0.483125,0.483539,0.579117,0.549741,0.618469,0.290549,0.305405,0.577954,0.559861,0.169935,0.483137,1,0.009443,0.914631,0.766808,0.148052,0.779455,0.217359,0.457774,0.698157,0.128789,0.001179,0.492496,0.199678,0.488012,0.002981,0.225556,0.034222,0.193663,0.343128,0.644848,0.626888,0.203326,0.195481,0.013478,0.011228,0.667517,0.227881,0.237051,0.225226,0.926116,0.00052,0.10976,0.175106,0.897712,0.01424,0.583839,0.172094,0.515526,0.19297,0.79851,0.685577,0.751722,0.001586,0.237202,0.499626,0.202126,0.749966,0.193326,0.229499,0.180322,0.949007,0.549934,0.356192,0.323963,0.91679,0.008743,0.645381,0.310904,0.00112,0.742933,0.002687,0.553213,0.206077,0.570921,0.708188,0.697777,0.840993,0.014246,0.178765,0.194851,0.180453,0.183141,0.052339,0.317281,0.777476,0.695923,0.556587,0.172129,0.096138,0.261571,0.561818,0.923041,0.09052,0.001135,0.952787,0.418519,0.000174,0.215,0.181783,0.159109,0.193086,0.012793,0.212545,0.002611,0.003373,0.537868,0.264534,0.164122,0.007606,0.000116,0.285935,0.353275,0.175679,0.001178,0.086635,0.1362,0.009647,0.219883,0.003503,0.208827,0.206646,0,0,0,1,0,0
0.005059,0.007471,0.699555,0.062582,0.014343,0.014879,0.173813,0.695876,0.674316,0.613102,0.679504,0.58387,0.173217,0.669686,0.169074,0.025362,0.000218,0.665929,0.187612,0.172497,0.194187,0.702272,0.704777,0.620762,0.687914,0.194456,0.194735,0.750727,0.208579,0.923276,0.167826,0.168484,0.208423,0.208568,0.014944,0.187701,0.687578,0.040047,0.680231,0.501465,0.345213,0.958098,0.196509,0.178565,0.296699,0.800676,0.000259,0.677916,0.34845,0.191682,0.001494,0.186022,0.000961,0.237236,0.163759,0.88738,0.809643,0.356152,0.038992,0.000717,0.000288,0.220142,0.319026,0.180178,0.338731,0.79775,0.000403,0.349945,0.017276,0.552615,0.001272,0.631262,0.006508,0.762061,0.328759,0.970746,0.258734,0.949152,0.000957,0.186742,0.867968,0.2231,0.610362,0.33037,0.186591,0.34799,0.872462,0.68666,0.888381,0.314485,0.531244,0.02413,0.842533,0.870692,0.000333,0.585055,0.000503,0.897964,0.335219,0.624843,0.540068,0.672448,0.647455,0.001242,0.260158,0.004062,0.346433,0.31692,0.000211,0.602433,0.5989,0.884914,0.878291,0.003402,0.003359,0.186358,0.210905,0.560946,0.000757,0.001487,0.671375,0.342078,0.000371,0.32037,0.328519,0.445388,0.195501,0.011481,0.340562,0.025045,0.001034,0.868366,0.012376,0.216255,0.014057,0.000019,0.674362,0.098188,0.33808,0.000413,0.060971,0.314108,0.0015,0.288402,0.000174,0.268628,0.252243,0,0,0,1,0,0
0.06352,0.053831,1,0.165096,0.130594,0.033498,0.079623,1,0.822665,1,1,0.976673,0.107373,1,0.131838,0.057851,0.010394,1,0.329956,0.073354,0.320742,1,1,0.945227,1,0.307725,0.319869,1,0.267803,0.880703,0.129307,0.170569,0.212046,0.33614,0.004875,0.307032,1,0.04822,0.368492,0.348944,0.167963,0.846876,0.316866,0.360988,0.331589,0.703157,0.04901,1,0.153416,0.309022,0.078092,0.29417,0.0049,0.300069,0.061488,0.698093,0.559361,0.138443,0.182523,0.00842,0.009854,0.367899,0.319705,0.266797,0.300706,0.861022,0.053651,0.187112,0.032704,0.344986,0.043839,0.761436,0.346933,0.65476,0.336331,0.88115,0.314077,0.873233,0.032678,0.249534,0.613555,0.309938,0.449644,0.303615,0.269883,0.167922,0.906982,0.68423,0.704053,0.101392,0.309794,0.051282,0.703045,0.716837,0.055295,0.232421,0.038597,0.714607,0.302161,0.369207,0.208568,0.539542,0.259953,0.020435,0.289479,0.058507,0.189657,0.331331,0.117511,0.778853,0.324242,0.697956,0.369514,0.15155,0.005073,0.233992,0.386418,0.258074,0.112106,0.025682,0.311874,0.124815,0.014416,0.315398,0.300864,0.303392,0.184616,0.057357,0.339691,0.00368,0.014833,0.670483,0.223398,0.199163,0.003328,0.031672,0.76918,0.181906,0.186433,0.043374,0.074357,0.28334,0.023081,0.331166,0.101264,0.317222,0.308176,0,0,0,1,1,0
